# Time(s) fish0X fish0Y
0.000 0.323 0.273
1.000 0.204 0.150
2.000 0.092 0.103
3.000 0.011 0.201
4.000 0.019 0.356
5.000 0.028 0.511
6.000 0.056 0.669
7.000 0.098 0.827
8.000 0.183 0.968
9.000 0.346 1.033
10.000 0.503 1.063
11.000 0.643 1.024
12.000 0.788 0.988
13.000 0.893 0.986
14.000 1.037 1.044
15.000 1.116 1.099
16.000 1.200 1.046
17.000 1.192 0.911
18.000 1.192 0.765
19.000 1.173 0.619
20.000 1.114 0.497
21.000 1.026 0.453
22.000 0.926 0.446
23.000 0.862 0.367
24.000 0.767 0.280
25.000 0.658 0.203
26.000 0.539 0.193
27.000 0.419 0.185
28.000 0.285 0.181
29.000 0.168 0.123
30.000 0.085 0.041
31.000 0.010 0.096
32.000 0.005 0.254
33.000 0.013 0.402
34.000 0.034 0.529
35.000 0.054 0.682
36.000 0.087 0.824
37.000 0.090 0.966
38.000 0.097 1.075
39.000 0.178 1.157
40.000 0.335 1.163
41.000 0.489 1.137
42.000 0.626 1.135
43.000 0.790 1.107
44.000 0.893 1.081
45.000 0.999 1.029
46.000 1.105 0.984
47.000 1.136 0.895
48.000 1.150 0.759
49.000 1.147 0.613
50.000 1.129 0.478
51.000 1.120 0.367
52.000 1.043 0.319
53.000 0.944 0.304
54.000 0.813 0.270
55.000 0.704 0.202
56.000 0.572 0.179
57.000 0.440 0.162
58.000 0.299 0.156
59.000 0.154 0.228
60.000 0.076 0.312
61.000 0.012 0.421
62.000 0.023 0.576
63.000 0.067 0.755
64.000 0.122 0.905
65.000 0.264 1.021
66.000 0.433 1.055
67.000 0.600 1.024
68.000 0.748 1.001
69.000 0.878 0.971
70.000 1.035 1.034
71.000 1.111 1.100
72.000 1.193 1.030
73.000 1.190 0.883
74.000 1.172 0.732
75.000 1.156 0.613
76.000 1.140 0.462
77.000 1.098 0.335
78.000 0.999 0.236
79.000 0.884 0.188
80.000 0.738 0.155
81.000 0.602 0.148
82.000 0.474 0.125
83.000 0.306 0.164
84.000 0.228 0.265
85.000 0.155 0.332
86.000 0.093 0.451
87.000 0.085 0.585
88.000 0.113 0.748
89.000 0.152 0.906
90.000 0.232 1.033
91.000 0.393 1.078
92.000 0.551 1.086
93.000 0.684 1.040
94.000 0.796 0.971
95.000 0.924 0.948
96.000 1.048 1.000
97.000 1.153 1.062
98.000 1.200 0.950
99.000 1.189 0.836
100.000 1.175 0.686
101.000 1.151 0.537
102.000 1.103 0.400
103.000 1.060 0.265
104.000 1.003 0.148
105.000 0.916 0.135
106.000 0.781 0.136
107.000 0.596 0.170
108.000 0.414 0.180
109.000 0.278 0.246
110.000 0.188 0.310
111.000 0.148 0.391
112.000 0.050 0.501
113.000 0.005 0.659
114.000 0.024 0.842
115.000 0.026 1.013
116.000 0.032 1.146
117.000 0.019 1.179
118.000 0.069 1.168
119.000 0.197 1.187
120.000 0.318 1.200
121.000 0.440 1.200
122.000 0.562 1.200
123.000 0.696 1.200
124.000 0.837 1.200
125.000 0.939 1.197
126.000 1.065 1.199
127.000 1.160 1.187
128.000 1.160 1.154
129.000 1.147 1.046
130.000 1.158 0.928
131.000 1.197 0.807
132.000 1.185 0.664
133.000 1.161 0.540
134.000 1.162 0.411
135.000 1.171 0.251
136.000 1.111 0.142
137.000 0.989 0.085
138.000 0.878 0.106
139.000 0.729 0.097
140.000 0.576 0.106
141.000 0.418 0.140
142.000 0.274 0.175
143.000 0.156 0.238
144.000 0.052 0.169
145.000 0.015 0.060
146.000 0.029 0.009
147.000 0.076 0.014
148.000 0.101 0.097
149.000 0.070 0.236
150.000 0.003 0.345
151.000 0.005 0.493
152.000 0.011 0.646
153.000 0.013 0.817
154.000 0.019 0.974
155.000 0.036 1.126
156.000 0.167 1.179
157.000 0.341 1.178
158.000 0.506 1.193
159.000 0.690 1.185
160.000 0.849 1.193
161.000 1.008 1.172
162.000 1.144 1.184
163.000 1.200 1.046
164.000 1.200 0.893
165.000 1.192 0.721
166.000 1.182 0.567
167.000 1.173 0.410
168.000 1.171 0.272
169.000 1.126 0.146
170.000 1.135 0.058
171.000 0.963 0.043
172.000 0.784 0.073
173.000 0.608 0.095
174.000 0.418 0.116
175.000 0.281 0.099
176.000 0.185 0.030
177.000 0.049 0.049
178.000 0.018 0.190
179.000 0.046 0.294
180.000 0.053 0.470
181.000 0.062 0.629
182.000 0.075 0.786
183.000 0.146 0.945
184.000 0.285 1.040
185.000 0.443 1.082
186.000 0.602 1.099
187.000 0.769 1.102
188.000 0.913 1.064
189.000 1.046 1.127
190.000 1.131 1.177
191.000 1.200 1.121
192.000 1.200 0.971
193.000 1.199 0.816
