# Time(s) fish0X fish0Y
265.000 0.554 1.154
266.000 0.391 1.179
267.000 0.209 1.178
268.000 0.080 1.160
269.000 0.035 1.072
270.000 0.028 0.937
271.000 0.017 0.800
272.000 0.021 0.630
273.000 0.037 0.445
274.000 0.024 0.296
275.000 0.030 0.132
276.000 0.065 0.045
277.000 0.170 0.028
278.000 0.311 0.052
279.000 0.484 0.062
280.000 0.661 0.010
281.000 0.806 0.023
282.000 0.976 0.018
283.000 1.117 0.023
284.000 1.192 0.094
285.000 1.173 0.216
286.000 1.190 0.379
287.000 1.194 0.559
288.000 1.185 0.734
289.000 1.186 0.917
290.000 1.174 1.058
291.000 1.163 1.137
292.000 1.141 1.174
293.000 1.103 1.180
294.000 1.041 1.184
295.000 0.936 1.186
296.000 0.826 1.172
297.000 0.669 1.190
298.000 0.507 1.186
299.000 0.338 1.189
300.000 0.172 1.177
301.000 0.052 1.147
302.000 0.032 1.035
303.000 0.034 0.881
304.000 0.036 0.717
305.000 0.029 0.563
306.000 0.010 0.399
307.000 0.020 0.219
308.000 0.028 0.079
309.000 0.036 0.110
310.000 0.093 0.033
311.000 0.185 0.025
312.000 0.217 0.055
313.000 0.348 0.024
314.000 0.496 0.021
315.000 0.634 0.011
316.000 0.785 0.009
317.000 0.962 0.012
318.000 1.124 0.015
319.000 1.190 0.101
320.000 1.180 0.260
321.000 1.198 0.446
322.000 1.186 0.643
323.000 1.193 0.810
324.000 1.185 0.993
325.000 1.171 1.143
326.000 1.102 1.184
327.000 0.972 1.189
328.000 0.832 1.169
329.000 0.681 1.190
330.000 0.510 1.190
331.000 0.331 1.185
332.000 0.158 1.175
333.000 0.045 1.144
334.000 0.030 1.084
335.000 0.045 0.997
336.000 0.020 0.882
337.000 0.043 0.707
338.000 0.030 0.535
339.000 0.031 0.351
340.000 0.024 0.183
341.000 0.026 0.095
342.000 0.035 0.059
343.000 0.072 0.034
344.000 0.096 0.037
345.000 0.183 0.031
346.000 0.293 0.051
347.000 0.423 0.014
348.000 0.549 0.014
349.000 0.725 0.024
350.000 0.932 0.009
351.000 1.103 0.023
352.000 1.190 0.079
353.000 1.180 0.211
354.000 1.197 0.352
355.000 1.195 0.540
356.000 1.188 0.718
357.000 1.194 0.914
358.000 1.181 1.089
359.000 1.125 1.183
360.000 0.982 1.189
361.000 0.851 1.190
362.000 0.685 1.190
363.000 0.498 1.187
364.000 0.327 1.177
365.000 0.164 1.176
366.000 0.045 1.156
367.000 0.027 1.066
368.000 0.019 0.931
369.000 0.021 0.788
370.000 0.023 0.624
371.000 0.025 0.456
372.000 0.022 0.326
373.000 0.021 0.143
374.000 0.028 0.074
375.000 0.109 0.030
376.000 0.215 0.038
377.000 0.344 0.026
378.000 0.516 0.043
379.000 0.713 0.010
380.000 0.867 0.016
381.000 1.027 0.013
382.000 1.159 0.024
383.000 1.191 0.115
384.000 1.184 0.293
385.000 1.167 0.487
386.000 1.144 0.714
387.000 1.120 0.888
388.000 1.099 0.994
389.000 1.116 1.149
390.000 1.024 1.181
391.000 0.860 1.184
392.000 0.675 1.182
393.000 0.502 1.192
394.000 0.328 1.180
395.000 0.150 1.177
396.000 0.048 1.156
397.000 0.033 1.058
398.000 0.025 0.914
399.000 0.032 0.755
400.000 0.042 0.583
401.000 0.014 0.449
402.000 0.056 0.291
403.000 0.063 0.150
404.000 0.075 0.039
405.000 0.227 0.032
406.000 0.387 0.027
407.000 0.591 0.054
408.000 0.784 0.068
409.000 0.943 0.023
410.000 1.080 0.014
411.000 1.176 0.052
412.000 1.193 0.146
413.000 1.195 0.304
414.000 1.188 0.503
415.000 1.158 0.711
416.000 1.180 0.882
417.000 1.182 1.059
418.000 1.132 1.173
419.000 1.011 1.187
420.000 0.859 1.188
421.000 0.677 1.193
422.000 0.507 1.184
423.000 0.347 1.187
424.000 0.177 1.174
425.000 0.040 1.160
426.000 0.036 1.041
427.000 0.040 0.895
428.000 0.035 0.720
429.000 0.012 0.565
430.000 0.039 0.423
431.000 0.017 0.267
432.000 0.014 0.125
433.000 0.089 0.034
434.000 0.254 0.049
435.000 0.424 0.039
436.000 0.550 0.011
437.000 0.725 0.012
438.000 0.886 0.011
439.000 1.057 0.013
440.000 1.173 0.039
441.000 1.194 0.157
442.000 1.191 0.298
443.000 1.191 0.484
444.000 1.199 0.637
445.000 1.147 0.772
446.000 0.965 0.798
447.000 0.910 0.881
448.000 0.882 0.940
449.000 0.984 0.836
450.000 1.145 0.744
451.000 1.195 0.851
452.000 1.194 0.923
453.000 1.180 1.054
454.000 1.151 1.178
455.000 1.006 1.186
456.000 0.858 1.183
457.000 0.725 1.182
458.000 0.545 1.136
459.000 0.434 1.165
460.000 0.300 1.179
461.000 0.136 1.174
462.000 0.036 1.119
463.000 0.047 0.968
464.000 0.025 0.812
465.000 0.051 0.626
466.000 0.079 0.445
467.000 0.018 0.280
468.000 0.021 0.137
469.000 0.066 0.039
470.000 0.176 0.028
471.000 0.323 0.023
472.000 0.500 0.012
473.000 0.682 0.019
474.000 0.864 0.014
475.000 1.008 0.014
476.000 1.101 0.016
477.000 1.188 0.101
478.000 1.176 0.259
479.000 1.170 0.430
480.000 1.147 0.656
481.000 1.112 0.829
482.000 0.974 0.907
483.000 0.915 0.960
484.000 0.978 0.889
485.000 0.891 0.869
486.000 0.831 0.894
487.000 0.882 0.981
488.000 1.018 1.059
489.000 1.144 1.151
490.000 1.027 1.181
491.000 0.874 1.185
492.000 0.672 1.187
493.000 0.488 1.172
494.000 0.276 1.183
495.000 0.086 1.171
496.000 0.025 1.054
497.000 0.019 0.871
498.000 0.016 0.768
499.000 0.020 0.557
500.000 0.046 0.388
501.000 0.013 0.248
502.000 0.031 0.101
503.000 0.164 0.026
504.000 0.314 0.031
505.000 0.513 0.039
506.000 0.716 0.053
507.000 0.921 0.026
508.000 1.113 0.022
509.000 1.192 0.126
510.000 1.187 0.288
511.000 1.199 0.486
512.000 1.195 0.664
513.000 1.191 0.867
514.000 1.185 1.062
515.000 1.135 1.182
516.000 0.989 1.170
517.000 0.816 1.193
518.000 0.680 1.182
519.000 0.503 1.190
520.000 0.308 1.185
521.000 0.129 1.176
522.000 0.029 1.094
523.000 0.036 0.953
524.000 0.039 0.768
525.000 0.059 0.571
526.000 0.115 0.378
527.000 0.254 0.359
528.000 0.239 0.299
529.000 0.051 0.210
530.000 0.049 0.085
531.000 0.161 0.027
532.000 0.315 0.042
533.000 0.506 0.060
534.000 0.709 0.014
535.000 0.894 0.015
536.000 1.113 0.022
537.000 1.191 0.135
538.000 1.188 0.321
539.000 1.200 0.520
540.000 1.184 0.709
541.000 1.186 0.909
542.000 1.177 1.113
543.000 1.057 1.182
544.000 0.872 1.195
545.000 0.686 1.187
546.000 0.488 1.180
547.000 0.280 1.180
548.000 0.107 1.170
549.000 0.028 1.079
550.000 0.024 0.951
551.000 0.017 0.782
552.000 0.015 0.614
553.000 0.017 0.439
554.000 0.012 0.278
555.000 0.020 0.109
556.000 0.101 0.026
557.000 0.181 0.028
558.000 0.337 0.018
559.000 0.511 0.014
560.000 0.699 0.009
561.000 0.901 0.008
562.000 1.075 0.022
563.000 1.193 0.108
564.000 1.183 0.284
565.000 1.174 0.480
566.000 1.152 0.684
567.000 1.059 0.804
568.000 0.975 0.910
569.000 1.101 1.018
570.000 1.144 1.154
571.000 0.988 1.178
572.000 0.826 1.187
573.000 0.630 1.191
574.000 0.439 1.183
575.000 0.232 1.183
576.000 0.068 1.155
577.000 0.030 1.033
578.000 0.015 0.858
579.000 0.012 0.677
580.000 0.011 0.502
581.000 0.014 0.324
582.000 0.018 0.123
583.000 0.101 0.029
584.000 0.229 0.023
585.000 0.374 0.019
586.000 0.554 0.010
587.000 0.744 0.009
588.000 0.935 0.010
589.000 1.128 0.016
590.000 1.189 0.116
591.000 1.196 0.286
592.000 1.200 0.480
593.000 1.198 0.652
594.000 1.190 0.844
595.000 1.186 1.038
596.000 1.113 1.186
597.000 0.965 1.188
598.000 0.802 1.184
599.000 0.605 1.190
600.000 0.409 1.187
601.000 0.195 1.169
602.000 0.048 1.147
603.000 0.028 1.015
604.000 0.025 0.859
605.000 0.011 0.674
606.000 0.023 0.496
607.000 0.013 0.315
608.000 0.018 0.136
609.000 0.102 0.026
610.000 0.267 0.026
611.000 0.450 0.015
612.000 0.658 0.031
613.000 0.842 0.010
614.000 1.030 0.013
615.000 1.191 0.096
616.000 1.192 0.237
617.000 1.185 0.440
618.000 1.170 0.628
619.000 1.171 0.833
620.000 1.182 1.009
621.000 1.143 1.175
622.000 0.996 1.173
623.000 0.865 1.185
624.000 0.799 1.193
625.000 0.675 1.191
626.000 0.497 1.191
627.000 0.298 1.185
628.000 0.109 1.174
629.000 0.028 1.105
630.000 0.029 0.978
631.000 0.014 0.806
632.000 0.011 0.638
633.000 0.012 0.459
634.000 0.009 0.295
635.000 0.014 0.121
636.000 0.071 0.031
637.000 0.175 0.025
638.000 0.288 0.018
639.000 0.437 0.012
640.000 0.595 0.015
641.000 0.746 0.011
642.000 0.935 0.011
643.000 1.123 0.016
644.000 1.192 0.069
645.000 1.194 0.201
646.000 1.200 0.328
647.000 1.198 0.492
648.000 1.190 0.688
649.000 1.193 0.870
650.000 1.185 1.057
651.000 1.144 1.178
652.000 1.034 1.187
