time,fish_id,x,y
0.0,0,-0.2095787592390151,0.5260024535200986
1.0,0,-0.23189138198938902,0.565
2.0,0,-0.23434294690715513,0.565
3.0,0,-0.24630553216889892,0.565
4.0,0,-0.28512101187754246,0.5591816887148099
5.0,0,-0.3329704786616915,0.5546838237522066
6.0,0,-0.3857950254681135,0.5630346201048553
7.0,0,-0.3981341226846376,0.5599773936655591
8.0,0,-0.46125751402497617,0.565
9.0,0,-0.49726559090616995,0.5519958288951832
10.0,0,-0.5078951604721579,0.5524979398710318
11.0,0,-0.5195510630780251,0.5522876079947753
12.0,0,-0.5143040477567672,0.532221321571521
13.0,0,-0.5052240556785824,0.5052634631441655
14.0,0,-0.49468727832237724,0.4948526681957223
15.0,0,-0.43603240700503654,0.45879257867939766
16.0,0,-0.42938403433692474,0.45544434494755737
17.0,0,-0.4059879006754187,0.4432799212374208
18.0,0,-0.39022879552492373,0.39135710787617783
19.0,0,-0.39248455557109035,0.3503487725796619
20.0,0,-0.4128527729284431,0.3223809948884855
21.0,0,-0.4389034609649098,0.31057739090975084
22.0,0,-0.4470196608250243,0.30728533910403516
23.0,0,-0.49606783408274135,0.26379721745947515
24.0,0,-0.522296029969043,0.24179293027903698
25.0,0,-0.5359604159298924,0.18599017602023127
26.0,0,-0.5531836550880416,0.1606406692076962
27.0,0,-0.5583068959627906,0.13942311326494797
28.0,0,-0.5593391402267993,0.11621001457178916
29.0,0,-0.5627300604790477,0.08632611450254962
30.0,0,-0.5636074865280947,0.06857405088379731
31.0,0,-0.5641207939878489,0.06133739406448694
32.0,0,-0.564112274520917,0.022863750118915456
33.0,0,-0.5602665878593791,-0.01707729172047203
34.0,0,-0.5593132127007361,-0.024051360593773746
35.0,0,-0.5621470944904564,-0.04795021660166493
36.0,0,-0.5641549600480356,-0.05641581125202352
37.0,0,-0.5575028470140081,-0.07964053811379274
38.0,0,-0.5577958874856097,-0.13306879985666106
39.0,0,-0.565,-0.18396904966067407
40.0,0,-0.565,-0.23328493640895692
41.0,0,-0.565,-0.24162930006996322
42.0,0,-0.565,-0.25983863073991176
43.0,0,-0.5613019994617524,-0.2701921042280626
44.0,0,-0.5622320868469347,-0.2865845174522117
45.0,0,-0.5441468792550085,-0.32955896856155104
46.0,0,-0.5354570028551306,-0.36119712197147075
47.0,0,-0.4939110754748291,-0.4063660768709456
48.0,0,-0.4742131361930671,-0.42100336156864226
49.0,0,-0.4492231083901993,-0.45615910190968634
50.0,0,-0.4401720279321926,-0.4763446987041886
51.0,0,-0.4264910294596859,-0.4586411891592872
52.0,0,-0.42330829565780526,-0.45592849273501007
53.0,0,-0.4042777649563942,-0.44958191036130524
54.0,0,-0.38537581000858456,-0.4241729985604684
55.0,0,-0.34808486236549785,-0.39631721236341144
56.0,0,-0.344522936344421,-0.3886840573289733
57.0,0,-0.34336358902797387,-0.38297145874669747
58.0,0,-0.34272898387490663,-0.372281762015885
59.0,0,-0.34331986937693315,-0.3663896577576278
60.0,0,-0.3441256575096821,-0.36245903515181954
61.0,0,-0.34483078649019705,-0.35569983128338317
62.0,0,-0.34998503382765467,-0.3481449935647638
63.0,0,-0.3484456980301379,-0.3347641931743246
64.0,0,-0.3469501831735785,-0.30552498100342496
65.0,0,-0.3333509973090943,-0.293575360638583
66.0,0,-0.31968634142016744,-0.28187043869972633
67.0,0,-0.29838193999158913,-0.2420309585021268
68.0,0,-0.2988035145598673,-0.17405654901517756
69.0,0,-0.2992821070802768,-0.16781447572290847
70.0,0,-0.2617581248670825,-0.12929594990437304
71.0,0,-0.2554212883795678,-0.12017302255041457
72.0,0,-0.24336199985075108,-0.10484813287031516
73.0,0,-0.23008702364498412,-0.08635458698157128
74.0,0,-0.21432780581906202,-0.07122986589004547
75.0,0,-0.20082974619254845,-0.06305906267817489
76.0,0,-0.15642865199630526,0.002034321697157393
77.0,0,-0.13131326523447606,0.017755977866698826
78.0,0,-0.09625570547050355,0.0429865417048723
79.0,0,-0.06610819283926288,0.06629424413476034
80.0,0,-0.027869078255669685,0.09947054594835082
81.0,0,-0.011363222080365033,0.12351896033870004
82.0,0,-0.0017616058039596205,0.1401654220088721
