# Time(s) fish0X fish0Y
0.000 1.160 0.905
1.000 1.149 0.810
2.000 1.131 0.645
3.000 1.181 0.558
4.000 1.153 0.444
5.000 1.090 0.351
6.000 1.100 0.220
7.000 1.153 0.081
8.000 1.173 0.019
9.000 1.111 0.036
10.000 1.027 0.091
11.000 1.010 0.120
12.000 1.036 0.100
13.000 1.031 0.125
14.000 0.961 0.153
15.000 0.890 0.141
16.000 0.779 0.098
17.000 0.682 0.161
18.000 0.722 0.275
19.000 0.754 0.346
20.000 0.859 0.400
21.000 0.982 0.347
22.000 1.097 0.239
23.000 1.156 0.114
24.000 1.186 0.029
25.000 1.186 0.067
26.000 1.176 0.022
27.000 1.189 0.069
28.000 1.189 0.152
29.000 1.191 0.238
30.000 1.194 0.330
31.000 1.184 0.433
32.000 1.185 0.541
33.000 1.187 0.647
34.000 1.158 0.766
35.000 1.164 0.868
36.000 1.182 0.954
37.000 1.167 1.048
38.000 1.078 1.092
39.000 0.966 1.068
40.000 0.843 1.039
41.000 0.723 1.074
42.000 0.610 1.114
43.000 0.491 1.056
44.000 0.373 0.983
45.000 0.280 0.858
46.000 0.204 0.744
47.000 0.122 0.714
48.000 0.066 0.668
49.000 0.018 0.643
50.000 0.050 0.549
51.000 0.144 0.442
52.000 0.280 0.346
53.000 0.379 0.300
54.000 0.527 0.234
55.000 0.687 0.146
56.000 0.825 0.066
57.000 0.960 0.039
58.000 1.103 0.042
59.000 1.180 0.054
60.000 1.174 0.158
61.000 1.156 0.265
62.000 1.097 0.397
63.000 0.992 0.542
64.000 0.862 0.668
65.000 0.736 0.780
66.000 0.723 0.889
67.000 0.792 0.938
68.000 0.816 0.939
69.000 0.744 0.877
70.000 0.620 0.849
71.000 0.529 0.831
72.000 0.440 0.794
73.000 0.330 0.804
74.000 0.260 0.822
75.000 0.188 0.865
76.000 0.163 0.790
77.000 0.098 0.782
78.000 0.048 0.832
79.000 0.038 0.935
80.000 0.021 0.969
81.000 0.056 0.896
82.000 0.078 0.819
83.000 0.182 0.781
84.000 0.226 0.854
85.000 0.172 0.922
86.000 0.123 1.012
87.000 0.044 1.010
88.000 0.047 1.098
89.000 0.093 1.161
90.000 0.194 1.136
91.000 0.269 1.090
92.000 0.317 1.024
93.000 0.347 0.958
94.000 0.338 0.914
95.000 0.280 0.855
96.000 0.191 0.816
97.000 0.143 0.881
98.000 0.078 0.900
99.000 0.017 0.947
100.000 0.037 1.047
101.000 0.057 1.124
102.000 0.118 1.107
103.000 0.112 0.994
104.000 0.105 0.862
105.000 0.156 0.771
106.000 0.198 0.695
107.000 0.273 0.693
108.000 0.294 0.625
109.000 0.392 0.578
110.000 0.479 0.466
111.000 0.501 0.344
112.000 0.576 0.225
113.000 0.710 0.183
114.000 0.824 0.187
115.000 0.987 0.098
116.000 1.129 0.030
117.000 1.188 0.082
118.000 1.197 0.204
119.000 1.158 0.263
120.000 1.185 0.394
121.000 1.184 0.524
122.000 1.113 0.624
123.000 1.005 0.734
124.000 0.876 0.831
125.000 0.831 0.942
126.000 0.988 1.004
127.000 1.122 1.041
128.000 1.177 0.947
129.000 1.183 0.847
130.000 1.191 0.710
131.000 1.193 0.570
132.000 1.174 0.489
