timeStep	fish0X	fish0Y	fish1X	fish1Y	fish2X	fish2Y	fish3X	fish3Y	fish4X	fish4Y	fish5X	fish5Y	fish6X	fish6Y	fish7X	fish7Y	fish8X	fish8Y	fish9X	fish9Y
36.00 0.443 0.827 0.705 0.103 0.708 0.130 0.733 0.145 0.745 0.236 0.756 0.160 0.762 0.036 0.821 0.410 0.948 0.818 0.935 0.873
37.00 0.474 0.088 0.467 0.781 0.482 0.149 0.501 0.181 0.533 0.098 0.536 0.188 0.666 0.021 0.722 0.240 1.051 0.747 0.940 0.876
38.00 0.263 0.139 0.491 0.739 0.535 0.188 1.031 0.598 0.355 0.219 0.300 0.230 0.310 0.200 0.310 0.172 0.615 0.020 0.948 0.863
39.00 0.106 0.188 0.144 0.222 0.147 0.185 0.531 0.699 0.578 0.029 0.933 0.444 0.940 0.867 0.352 0.204 0.216 0.256 0.213 0.232
40.00 0.057 0.319 0.095 0.184 0.148 0.227 0.539 0.042 0.580 0.657 0.793 0.303 0.237 0.243 0.047 0.192 0.045 0.391 0.967 0.861
41.00 0.056 0.611 0.056 0.558 0.076 0.387 0.082 0.323 0.138 0.405 0.152 0.383 0.614 0.603 0.647 0.187 0.452 0.026 0.940 0.873
42.00 0.080 0.583 0.077 0.864 0.096 0.816 0.113 0.635 0.118 0.475 0.162 0.559 0.496 0.085 0.617 0.539 0.381 0.005 0.946 0.869
43.00 0.097 1.132 0.114 0.847 0.113 0.761 0.122 1.084 0.143 0.628 0.158 0.779 0.596 0.458 0.336 0.056 0.321 0.031 0.933 0.876
44.00 0.121 0.937 0.137 1.038 0.142 0.862 0.173 1.014 0.196 1.163 0.214 0.062 0.269 1.142 0.940 0.871 0.565 0.387 0.210 0.020
45.00 0.106 0.114 0.123 0.042 0.253 1.001 0.281 1.112 0.320 1.111 0.320 1.050 0.324 1.083 0.355 1.157 0.515 0.342 0.930 0.861
46.00 0.026 0.084 0.053 0.159 0.416 1.023 0.480 1.085 0.519 1.030 0.586 1.150 0.586 1.111 0.444 0.305 0.938 0.869 0.510 1.124
47.00 0.390 0.285 0.597 0.977 0.694 0.966 0.700 1.094 0.725 0.976 0.780 1.023 0.807 1.121 0.946 0.861 0.019 0.260 0.019 0.189
48.00 0.019 0.284 0.040 0.379 0.807 0.937 0.862 1.067 0.981 1.134 0.344 0.303 0.935 0.867 0.912 0.955 0.904 0.979 0.854 0.949
49.00 0.038 0.369 0.996 1.072 1.065 0.942 1.069 1.038 1.135 1.116 0.089 0.442 0.925 0.869 0.967 0.961 0.985 0.968 0.286 0.292
50.00 1.090 1.068 1.100 0.995 1.113 0.974 1.151 1.007 1.169 0.941 0.089 0.442 0.184 0.445 0.247 0.277 1.161 0.968 0.940 0.869
51.00 0.199 0.528 0.247 0.560 1.075 0.927 1.085 0.861 1.134 0.713 1.138 0.836 1.167 0.912 1.114 0.734 0.208 0.292 0.935 0.869
52.00 0.189 0.647 0.231 0.688 1.073 0.639 1.124 0.746 1.152 0.460 1.006 0.783 0.930 0.878 1.132 0.640 1.130 0.468 0.935 0.938
53.00 0.113 0.728 0.141 0.753 1.047 0.569 1.095 0.372 1.129 0.255 1.139 0.440 1.163 0.200 0.959 0.882 1.122 0.548 0.221 0.374
54.00 0.112 0.795 1.050 0.038 1.056 0.056 1.068 0.301 1.101 0.147 1.112 0.323 1.148 0.240 0.221 0.385 0.938 0.871 0.108 0.786
55.00 0.124 0.838 0.196 0.850 0.735 0.126 0.785 0.079 0.927 0.096 0.947 0.220 1.045 0.099 0.935 0.131 0.933 0.873 0.250 0.367
56.00 0.209 0.842 0.256 0.811 0.430 0.226 0.521 0.160 0.656 0.130 0.664 0.187 0.712 0.258 0.869 0.143 0.255 0.348 0.933 0.869
57.00 0.296 0.830 0.361 0.765 0.394 0.178 0.415 0.218 0.491 0.281 0.675 0.225 0.365 0.196 0.294 0.202 0.244 0.318 0.943 0.867
58.00 0.171 0.066 0.234 0.059 0.276 0.121 0.381 0.781 0.432 0.823 0.457 0.247 0.940 0.865 0.247 0.303 0.321 0.269 0.300 0.228
59.00 0.068 0.196 0.091 0.135 0.138 0.194 0.152 0.171 0.431 0.850 0.482 0.841 0.174 0.213 0.302 0.187 0.229 0.271 0.959 0.876
60.00 0.062 0.323 0.082 0.419 0.098 0.319 0.440 0.723 0.500 0.868 0.935 0.863 0.163 0.365 0.160 0.316 0.163 0.245 0.226 0.256
61.00 0.097 0.526 0.149 0.428 0.145 0.632 0.166 0.572 0.181 0.396 0.322 0.624 0.466 0.843 0.940 0.863 0.239 0.385 0.197 0.247
62.00 0.126 0.772 0.145 0.698 0.160 0.462 0.163 0.869 0.184 0.537 0.206 0.519 0.267 0.478 0.416 0.771 0.948 0.871 0.189 0.286
63.00 0.139 0.723 0.155 0.973 0.165 0.888 0.249 1.039 0.243 0.593 0.363 0.644 0.137 0.646 0.137 0.462 0.935 0.863 0.276 0.267
64.00 0.204 0.858 0.231 0.915 0.267 0.710 0.300 0.554 0.335 0.999 0.336 1.062 0.433 1.103 0.058 0.427 0.938 0.871 0.205 0.329
65.00 0.060 0.376 0.271 0.434 0.349 0.769 0.421 0.953 0.456 0.983 0.562 1.041 0.653 1.070 0.218 0.333 0.943 0.867 0.541 1.090
66.00 0.097 0.357 0.441 0.813 0.621 0.974 0.692 0.981 0.723 1.118 0.783 1.044 0.828 0.989 0.935 0.867 0.216 0.339 0.281 0.307
67.00 0.558 0.855 0.811 0.967 0.237 0.324 0.258 0.224 0.110 0.344 0.896 1.075 0.896 0.959 0.990 0.953 0.935 0.869 0.951 0.957
68.00 0.164 0.352 0.771 0.912 1.032 0.865 1.066 0.892 1.110 0.816 1.006 0.994 0.919 0.942 0.940 0.867 0.237 0.294 0.252 0.157
69.00 1.032 0.846 1.082 0.711 1.099 0.841 1.130 0.561 1.132 0.693 0.197 0.106 0.244 0.269 0.210 0.337 0.951 0.871 0.919 0.891
70.00 0.100 0.128 0.936 0.760 1.098 0.665 1.098 0.300 1.109 0.417 1.121 0.672 0.938 0.873 1.051 0.509 0.216 0.318 0.255 0.239
71.00 0.051 0.207 0.906 0.649 1.034 0.106 1.061 0.171 1.081 0.306 1.092 0.446 1.151 0.525 0.234 0.230 0.244 0.294 0.954 0.869
72.00 0.048 0.285 0.822 0.077 0.918 0.516 0.988 0.159 1.052 0.254 1.116 0.368 0.940 0.850 0.216 0.226 0.326 0.286 0.896 0.056
73.00 0.041 0.252 0.594 0.140 0.643 0.097 0.778 0.132 0.816 0.354 0.862 0.156 0.942 0.264 0.373 0.312 0.221 0.222 0.956 0.841
74.00 0.052 0.180 0.401 0.127 0.412 0.178 0.566 0.124 0.656 0.159 0.656 0.202 0.680 0.304 0.405 0.303 0.192 0.222 0.975 0.856
75.00 0.068 0.105 0.426 0.297 0.440 0.184 0.455 0.266 0.552 0.346 1.001 0.854 0.376 0.305 0.326 0.262 0.381 0.168 0.216 0.211
76.00 0.397 0.334 1.001 0.818 0.368 0.359 0.378 0.314 0.389 0.329 0.384 0.279 0.307 0.292 0.360 0.260 0.242 0.198 0.053 0.048
77.00 0.055 0.035 0.990 0.801 0.263 0.359 0.252 0.324 0.305 0.370 0.305 0.335 0.310 0.324 0.331 0.299 0.342 0.277 0.265 0.187
78.00 0.129 0.029 0.977 0.790 0.187 0.344 0.187 0.286 0.200 0.264 0.223 0.254 0.242 0.337 0.255 0.301 0.302 0.269 0.310 0.194
79.00 0.956 0.796 0.134 0.260 0.181 0.200 0.168 0.200 0.231 0.258 0.208 0.249 0.195 0.213 0.297 0.262 0.331 0.213 0.187 0.024
80.00 0.933 0.798 0.205 0.320 0.163 0.267 0.187 0.187 0.255 0.067 0.339 0.202 0.331 0.230 0.255 0.230 0.263 0.230 0.244 0.275
81.00 0.247 0.135 0.317 0.420 0.160 0.249 0.192 0.290 0.234 0.389 0.244 0.258 0.250 0.228 0.313 0.273 0.342 0.241 0.917 0.811
82.00 0.207 0.515 0.307 0.397 0.305 0.370 0.326 0.363 0.223 0.331 0.268 0.282 0.242 0.219 0.271 0.217 0.368 0.271 0.951 0.846
83.00 0.135 0.721 0.173 0.491 0.233 0.477 0.278 0.533 0.344 0.370 0.200 0.378 0.239 0.292 0.279 0.219 0.352 0.273 0.885 0.831
84.00 0.136 0.651 0.136 0.927 0.193 0.772 0.222 0.651 0.281 0.456 0.142 0.745 0.226 0.350 0.357 0.297 0.286 0.243 0.885 0.831
85.00 0.109 0.918 0.116 0.961 0.147 1.035 0.169 0.983 0.201 0.844 0.232 0.708 0.238 0.473 0.334 0.312 0.885 0.856 0.258 0.284
86.00 0.179 1.135 0.193 0.892 0.223 0.998 0.218 0.609 0.225 1.111 0.287 1.123 0.297 1.099 0.242 0.346 0.323 0.333 0.875 0.824
87.00 0.170 0.744 0.310 1.001 0.351 1.136 0.440 1.012 0.442 1.087 0.485 1.023 0.550 1.078 0.265 0.434 0.336 0.359 0.885 0.831
88.00 0.082 0.860 0.241 0.561 0.476 1.040 0.528 0.967 0.641 0.956 0.656 1.037 0.735 0.997 0.736 0.955 0.323 0.395 0.877 0.826
89.00 0.074 0.989 0.189 0.703 0.311 0.407 0.584 1.012 0.764 0.925 0.804 0.943 0.809 0.994 0.872 0.824 0.867 0.912 0.906 0.944
90.00 0.078 1.118 0.119 0.861 0.298 0.435 0.781 0.953 0.912 0.968 0.940 0.949 0.880 0.919 0.967 0.903 0.961 0.856 0.271 0.318
91.00 0.085 1.002 0.279 0.472 0.904 0.916 0.954 0.886 1.004 0.908 0.954 0.850 1.006 0.822 0.925 0.811 0.181 1.180 0.935 0.886
92.00 0.153 1.111 0.315 0.524 0.954 0.778 0.313 1.180 0.951 0.852 0.925 0.856 0.930 0.826 0.891 0.794 0.870 0.798 0.933 0.923
93.00 0.301 1.152 0.331 0.577 0.434 1.176 0.859 0.781 0.936 0.758 0.945 0.683 0.896 0.839 0.946 0.805 0.927 0.856 0.943 0.914
94.00 0.348 0.653 0.458 1.108 0.548 1.168 0.928 0.698 1.012 0.603 0.898 0.878 0.940 0.878 0.975 0.846 0.959 0.921 0.930 0.708
95.00 0.379 0.711 0.626 1.056 0.957 0.664 1.009 0.780 1.058 0.564 1.091 0.507 0.906 0.858 0.940 0.871 0.985 0.828 0.649 1.157
96.00 0.420 0.769 0.762 1.154 0.771 0.992 0.968 0.673 0.986 0.691 1.034 0.678 1.038 0.506 1.079 0.427 1.102 0.365 0.906 0.839
97.00 0.482 0.802 0.840 1.145 1.024 0.561 1.042 0.423 1.048 0.358 1.057 0.255 1.064 0.182 1.081 0.472 0.849 0.912 0.985 0.839
98.00 0.545 0.831 0.924 0.064 0.926 1.151 0.988 0.087 1.010 0.223 1.029 0.524 1.068 0.297 0.925 0.944 0.951 0.861 0.964 0.234
99.00 0.748 0.131 0.831 0.078 0.834 0.179 0.865 0.259 0.881 0.240 0.969 0.443 1.096 0.855 0.604 0.843 0.904 0.790 1.019 1.148
100.00 0.689 0.866 0.730 0.345 0.740 0.393 0.744 0.517 0.751 0.294 0.779 0.237 0.812 0.404 1.124 1.150 1.145 0.928 0.940 0.919
101.00 0.556 0.781 0.631 0.562 0.657 0.445 0.679 0.584 0.731 0.415 0.765 0.893 0.767 0.550 1.134 1.006 0.867 0.801 1.145 1.112
102.00 0.444 1.017 0.480 0.866 0.570 0.831 0.580 0.637 0.677 0.642 0.828 0.703 1.110 1.053 1.145 1.062 0.835 0.837 0.820 0.897
103.00 0.548 0.985 0.594 0.852 0.636 0.973 0.634 0.843 0.681 0.986 1.071 1.058 1.106 1.009 0.893 0.916 0.859 0.886 0.906 0.846
104.00 0.684 0.977 0.768 0.908 0.780 0.960 1.037 1.040 1.044 0.946 0.980 0.882 0.877 0.955 0.875 0.884 0.817 0.985 0.935 0.916
105.00 0.830 0.946 0.896 0.921 0.893 0.884 1.017 0.861 1.004 0.976 0.985 1.006 0.959 1.000 0.838 0.957 0.896 0.925 0.959 0.919
106.00 1.048 0.805 0.946 0.912 0.969 0.891 0.990 0.888 0.969 0.940 1.001 0.929 1.004 0.953 1.009 0.983 0.964 0.985 1.006 0.987
107.00 1.030 0.877 1.132 0.793 0.954 0.938 0.982 0.934 0.996 0.916 1.011 0.957 1.006 0.897 1.011 0.886 0.943 0.878 1.009 0.895
108.00 1.029 0.854 1.031 0.930 1.047 0.939 1.048 0.854 1.044 0.907 1.085 0.895 0.943 0.931 1.174 0.828 0.927 0.953 1.001 0.908
109.00 1.078 0.945 1.085 0.850 1.103 0.933 1.116 0.984 1.129 0.855 1.146 0.932 1.109 0.895 1.001 0.961 1.004 0.878 0.990 0.871
110.00 1.033 0.971 1.037 0.952 1.065 0.910 1.095 0.875 1.108 0.859 1.130 0.849 0.990 0.936 1.022 0.919 1.001 0.974 1.009 0.852
111.00 1.038 0.856 1.118 0.863 0.998 0.979 0.954 0.955 0.930 0.899 0.980 0.903 1.027 0.906 1.027 0.886 1.067 0.831 0.946 0.942
112.00 1.049 0.854 1.117 0.877 0.967 0.989 0.972 0.931 0.980 0.906 0.975 0.886 0.883 0.906 0.880 0.912 0.904 0.888 0.940 0.843
113.00 1.038 0.837 1.090 0.878 0.938 0.981 0.964 0.976 0.909 0.936 0.896 0.854 0.896 0.865 0.943 0.861 0.933 0.841 0.849 0.835
114.00 0.895 0.788 1.082 0.876 0.906 1.000 0.951 0.964 1.022 0.846 0.982 0.835 0.951 0.805 0.933 0.822 0.843 0.843 0.854 0.835
115.00 0.888 0.756 0.913 0.774 0.910 0.746 0.933 0.784 0.965 0.753 1.066 0.876 0.906 0.927 0.925 0.949 0.998 0.858 0.922 0.687
116.00 0.898 0.583 0.907 0.716 0.952 0.677 0.961 0.743 1.051 0.877 0.909 0.964 0.906 0.850 0.912 0.766 0.912 0.646 0.985 0.852
117.00 0.853 0.730 0.865 0.644 0.870 0.480 0.878 0.530 0.953 0.550 0.962 0.625 1.038 0.878 0.883 0.957 0.972 0.824 0.901 0.805
118.00 0.775 0.595 0.841 0.722 0.843 0.462 0.845 0.402 0.876 0.344 0.899 0.353 0.965 0.482 0.959 0.816 1.019 0.861 0.883 0.906
119.00 0.815 0.451 0.828 0.168 0.856 0.571 0.860 0.269 0.896 0.320 0.908 0.349 0.949 0.216 1.009 0.858 0.951 0.813 0.904 0.873
120.00 0.695 0.128 0.791 0.220 0.797 0.177 0.911 0.299 0.912 0.389 0.928 0.109 0.912 0.852 0.927 0.809 1.006 0.852 0.948 0.914
121.00 0.553 0.193 0.573 0.230 0.617 0.149 0.796 0.063 0.834 0.037 0.893 0.140 0.998 0.848 0.896 0.822 0.927 0.803 0.912 0.273
122.00 0.394 0.213 0.424 0.259 0.435 0.178 0.574 0.097 0.658 0.154 0.700 0.038 0.790 0.141 0.990 0.858 0.925 0.884 0.912 0.826
123.00 0.292 0.164 0.328 0.164 0.397 0.146 0.570 0.139 0.571 0.172 0.854 0.818 0.914 0.833 0.988 0.858 0.554 0.086 0.263 0.192
124.00 0.145 0.204 0.179 0.117 0.289 0.058 0.417 0.101 0.229 0.046 0.326 0.177 0.363 0.168 0.990 0.854 0.901 0.837 0.825 0.816
125.00 0.116 0.261 0.121 0.148 0.125 0.357 0.152 0.082 0.802 0.833 0.990 0.858 0.885 0.841 0.276 0.241 0.158 0.243 0.305 0.198
126.00 0.112 0.280 0.158 0.432 0.166 0.501 0.184 0.450 0.273 0.333 0.105 0.177 0.993 0.856 0.791 0.856 0.870 0.839 0.237 0.245
127.00 0.131 0.289 0.132 0.592 0.160 0.426 0.195 0.614 0.204 0.620 0.313 0.380 0.124 0.273 0.804 0.884 0.988 0.858 0.846 0.843
128.00 0.085 0.351 0.170 0.485 0.194 0.765 0.204 0.571 0.255 0.715 0.289 0.748 0.322 0.417 0.841 0.901 0.833 0.837 0.990 0.861
