# Time(s) fish0X fish0Y
265.000 0.979 1.185
266.000 0.841 1.187
267.000 0.701 1.199
268.000 0.540 1.172
269.000 0.388 1.187
270.000 0.234 1.190
271.000 0.099 1.169
272.000 0.028 1.098
273.000 0.009 1.007
274.000 0.016 0.926
275.000 0.006 0.834
276.000 0.015 0.699
277.000 0.007 0.556
278.000 0.020 0.402
279.000 0.004 0.232
280.000 0.025 0.092
281.000 0.084 0.023
282.000 0.157 0.023
283.000 0.252 0.035
284.000 0.348 0.030
285.000 0.464 0.030
286.000 0.599 0.002
287.000 0.713 0.022
288.000 0.842 0.006
289.000 0.978 0.019
290.000 1.106 0.016
291.000 1.183 0.048
292.000 1.189 0.114
293.000 1.192 0.142
294.000 1.174 0.187
295.000 1.196 0.245
296.000 1.191 0.343
297.000 1.194 0.491
298.000 1.190 0.650
299.000 1.195 0.827
300.000 1.180 0.972
301.000 1.174 1.129
302.000 1.120 1.196
303.000 1.049 1.184
304.000 0.979 1.195
305.000 0.892 1.198
306.000 0.771 1.200
307.000 0.626 1.176
308.000 0.473 1.198
309.000 0.322 1.192
310.000 0.175 1.177
311.000 0.043 1.174
312.000 0.027 1.061
313.000 0.016 0.968
314.000 0.023 0.893
315.000 0.032 0.765
316.000 0.024 0.622
317.000 0.017 0.466
318.000 0.010 0.308
319.000 0.012 0.129
320.000 0.082 0.021
321.000 0.172 0.026
322.000 0.268 0.032
323.000 0.392 0.017
324.000 0.552 0.014
325.000 0.709 0.013
326.000 0.865 0.003
327.000 1.033 0.010
328.000 1.162 0.021
329.000 1.187 0.112
330.000 1.200 0.225
331.000 1.199 0.364
332.000 1.200 0.522
333.000 1.197 0.668
334.000 1.191 0.816
335.000 1.170 0.967
336.000 1.177 1.134
337.000 1.116 1.197
338.000 1.033 1.186
339.000 0.936 1.195
340.000 0.820 1.200
341.000 0.682 1.200
342.000 0.523 1.175
343.000 0.388 1.198
344.000 0.256 1.191
345.000 0.126 1.191
346.000 0.029 1.147
347.000 0.020 1.051
348.000 0.023 0.956
349.000 0.025 0.858
350.000 0.028 0.730
351.000 0.023 0.612
352.000 0.028 0.465
353.000 0.046 0.312
354.000 0.011 0.153
355.000 0.058 0.032
356.000 0.137 0.031
357.000 0.233 0.014
358.000 0.329 0.033
359.000 0.415 0.004
360.000 0.546 0.033
361.000 0.704 0.021
362.000 0.856 0.016
363.000 1.039 0.013
364.000 1.169 0.061
365.000 1.189 0.137
366.000 1.198 0.224
367.000 1.186 0.337
368.000 1.194 0.471
369.000 1.184 0.581
370.000 1.166 0.748
371.000 1.185 0.923
372.000 1.165 1.096
373.000 1.096 1.190
374.000 0.988 1.187
375.000 0.856 1.171
376.000 0.718 1.196
377.000 0.567 1.182
378.000 0.416 1.185
379.000 0.266 1.198
380.000 0.148 1.193
381.000 0.044 1.154
382.000 0.021 1.087
383.000 0.027 1.049
384.000 0.016 0.980
385.000 0.010 0.921
386.000 0.026 0.862
387.000 0.029 0.793
388.000 0.022 0.693
389.000 0.023 0.603
390.000 0.041 0.428
391.000 0.020 0.277
392.000 0.019 0.135
393.000 0.039 0.029
