# TimeStep fish0X fish0Y fish1X fish1Y
21.667 nan nan nan nan
21.733 nan nan nan nan
21.800 nan nan nan nan
21.867 nan nan nan nan
21.933 nan nan nan nan
22.000 nan nan nan nan
22.067 nan nan nan nan
22.133 nan nan nan nan
22.200 nan nan nan nan
22.267 nan nan nan nan
22.333 nan nan nan nan
22.400 nan nan nan nan
22.467 nan nan nan nan
22.533 nan nan nan nan
22.600 nan nan nan nan
22.667 nan nan nan nan
22.733 nan nan nan nan
22.800 nan nan nan nan
22.867 nan nan nan nan
22.933 nan nan nan nan
23.000 nan nan nan nan
23.067 nan nan nan nan
23.133 nan nan nan nan
23.200 nan nan nan nan
23.267 nan nan nan nan
23.333 nan nan nan nan
23.400 nan nan nan nan
23.467 nan nan nan nan
23.533 nan nan nan nan
23.600 nan nan nan nan
23.667 nan nan nan nan
23.733 nan nan nan nan
23.800 nan nan nan nan
23.867 nan nan nan nan
23.933 nan nan nan nan
24.000 nan nan nan nan
24.067 nan nan nan nan
24.133 nan nan nan nan
24.200 nan nan nan nan
24.267 nan nan nan nan
24.333 nan nan nan nan
24.400 nan nan nan nan
24.467 nan nan nan nan
24.533 nan nan nan nan
24.600 nan nan nan nan
24.667 nan nan nan nan
24.733 nan nan nan nan
24.800 nan nan nan nan
24.867 nan nan nan nan
24.933 nan nan nan nan
25.000 nan nan nan nan
25.067 nan nan nan nan
25.133 nan nan nan nan
25.200 nan nan nan nan
25.267 nan nan nan nan
25.333 nan nan nan nan
25.400 nan nan nan nan
25.467 nan nan nan nan
25.533 nan nan nan nan
25.600 nan nan nan nan
25.667 nan nan nan nan
25.733 nan nan nan nan
25.800 nan nan nan nan
25.867 nan nan nan nan
25.933 nan nan nan nan
26.000 nan nan nan nan
26.067 nan nan nan nan
26.133 nan nan nan nan
26.200 nan nan nan nan
26.267 nan nan nan nan
26.333 0.883 0.267 nan nan
26.400 nan nan nan nan
26.467 nan nan nan nan
26.533 0.913 0.298 nan nan
26.600 nan nan nan nan
26.667 nan nan nan nan
26.733 nan nan nan nan
26.800 nan nan nan nan
26.867 nan nan 0.834 0.290
26.933 nan nan nan nan
27.000 nan nan nan nan
27.067 nan nan nan nan
27.133 nan nan nan nan
27.200 nan nan nan nan
27.267 nan nan nan nan
27.333 nan nan nan nan
27.400 nan nan nan nan
27.467 nan nan nan nan
27.533 nan nan nan nan
27.600 nan nan nan nan
27.667 nan nan nan nan
27.733 nan nan nan nan
27.800 nan nan nan nan
27.867 nan nan nan nan
27.933 nan nan nan nan
28.000 nan nan nan nan
28.067 nan nan nan nan
28.133 nan nan nan nan
28.200 nan nan nan nan
28.267 nan nan nan nan
28.333 nan nan nan nan
28.400 nan nan nan nan
28.467 nan nan nan nan
28.533 nan nan nan nan
28.600 nan nan nan nan
28.667 nan nan nan nan
28.733 nan nan nan nan
28.800 nan nan nan nan
28.867 nan nan nan nan
28.933 nan nan nan nan
29.000 nan nan 0.509 0.476
29.067 nan nan nan nan
29.133 nan nan nan nan
29.200 nan nan nan nan
29.267 nan nan nan nan
29.333 nan nan nan nan
29.400 nan nan nan nan
29.467 nan nan nan nan
29.533 nan nan nan nan
29.600 nan nan nan nan
29.667 nan nan nan nan
29.733 nan nan nan nan
29.800 nan nan nan nan
29.867 nan nan nan nan
29.933 nan nan nan nan
30.000 nan nan nan nan
30.067 nan nan nan nan
30.133 nan nan nan nan
30.200 nan nan nan nan
30.267 nan nan nan nan
30.333 nan nan nan nan
30.400 nan nan nan nan
30.467 nan nan nan nan
30.533 nan nan nan nan
30.600 nan nan nan nan
30.667 nan nan nan nan
30.733 nan nan nan nan
30.800 nan nan nan nan
30.867 nan nan nan nan
30.933 nan nan nan nan
31.000 nan nan nan nan
31.067 nan nan 0.299 0.649
31.133 nan nan 0.290 0.660
31.200 nan nan nan nan
31.267 nan nan nan nan
31.333 nan nan 0.269 0.681
31.400 nan nan 0.258 0.688
31.467 nan nan 0.249 0.693
31.533 nan nan 0.242 0.698
31.600 nan nan 0.229 0.702
31.667 nan nan nan nan
31.733 nan nan nan nan
31.800 nan nan 0.201 0.705
31.867 nan nan 0.191 0.706
31.933 nan nan 0.183 0.707
32.000 nan nan 0.175 0.708
32.067 nan nan nan nan
32.133 nan nan nan nan
32.200 nan nan nan nan
32.267 nan nan nan nan
32.333 nan nan 0.119 0.708
32.400 0.094 0.705 0.111 0.704
32.467 0.089 0.697 0.108 0.698
32.533 0.086 0.693 nan nan
32.600 0.103 0.694 nan nan
32.667 0.111 0.697 nan nan
32.733 0.120 0.699 nan nan
32.800 0.129 0.699 nan nan
32.867 0.137 0.699 nan nan
32.933 nan nan nan nan
33.000 nan nan 0.140 0.702
33.067 nan nan 0.149 0.704
33.133 nan nan 0.157 0.705
33.200 nan nan nan nan
33.267 nan nan nan nan
33.333 nan nan nan nan
33.400 nan nan nan nan
33.467 nan nan nan nan
33.533 nan nan nan nan
33.600 nan nan nan nan
33.667 nan nan nan nan
33.733 nan nan nan nan
33.800 nan nan nan nan
33.867 nan nan nan nan
33.933 nan nan nan nan
34.000 nan nan nan nan
34.067 nan nan nan nan
34.133 nan nan nan nan
34.200 nan nan nan nan
34.267 nan nan nan nan
34.333 nan nan nan nan
34.400 nan nan nan nan
34.467 nan nan nan nan
34.533 nan nan nan nan
34.600 nan nan nan nan
34.667 nan nan nan nan
34.733 nan nan nan nan
34.800 nan nan nan nan
34.867 nan nan nan nan
34.933 nan nan nan nan
35.000 nan nan nan nan
35.067 nan nan nan nan
35.133 nan nan nan nan
35.200 nan nan nan nan
35.267 nan nan nan nan
35.333 nan nan nan nan
35.400 nan nan nan nan
35.467 nan nan nan nan
35.533 nan nan nan nan
35.600 nan nan nan nan
35.667 nan nan nan nan
35.733 nan nan nan nan
35.800 nan nan nan nan
35.867 nan nan nan nan
35.933 nan nan nan nan
36.000 nan nan nan nan
36.067 nan nan nan nan
36.133 nan nan nan nan
36.200 nan nan nan nan
36.267 nan nan nan nan
36.333 nan nan nan nan
36.400 nan nan nan nan
36.467 nan nan nan nan
36.533 nan nan nan nan
36.600 nan nan nan nan
36.667 nan nan nan nan
36.733 nan nan nan nan
36.800 nan nan nan nan
36.867 nan nan nan nan
36.933 nan nan nan nan
37.000 nan nan nan nan
37.067 nan nan nan nan
37.133 nan nan nan nan
37.200 nan nan nan nan
37.267 nan nan nan nan
37.333 nan nan nan nan
37.400 nan nan nan nan
37.467 nan nan nan nan
37.533 nan nan nan nan
37.600 nan nan nan nan
37.667 nan nan nan nan
37.733 nan nan nan nan
37.800 nan nan nan nan
37.867 nan nan nan nan
37.933 nan nan nan nan
38.000 nan nan 0.764 0.060
38.067 nan nan nan nan
38.133 nan nan nan nan
38.200 nan nan nan nan
38.267 nan nan nan nan
38.333 nan nan nan nan
38.400 nan nan nan nan
38.467 nan nan nan nan
38.533 nan nan nan nan
38.600 nan nan nan nan
38.667 nan nan nan nan
38.733 nan nan nan nan
38.800 nan nan nan nan
38.867 nan nan nan nan
38.933 nan nan nan nan
39.000 nan nan nan nan
39.067 nan nan nan nan
39.133 nan nan nan nan
39.200 nan nan nan nan
39.267 nan nan nan nan
39.333 nan nan nan nan
39.400 nan nan nan nan
39.467 nan nan nan nan
39.533 nan nan nan nan
39.600 nan nan nan nan
39.667 nan nan nan nan
39.733 nan nan nan nan
39.800 nan nan nan nan
39.867 nan nan nan nan
39.933 nan nan nan nan
40.000 nan nan nan nan
40.067 nan nan nan nan
40.133 nan nan nan nan
40.200 nan nan nan nan
40.267 nan nan nan nan
40.333 nan nan nan nan
40.400 nan nan nan nan
40.467 nan nan nan nan
40.533 nan nan nan nan
40.600 nan nan nan nan
40.667 nan nan nan nan
40.733 nan nan nan nan
40.800 nan nan nan nan
40.867 nan nan nan nan
40.933 nan nan nan nan
41.000 nan nan nan nan
41.067 nan nan nan nan
41.133 nan nan nan nan
41.200 nan nan nan nan
41.267 nan nan nan nan
41.333 nan nan nan nan
41.400 nan nan nan nan
41.467 nan nan nan nan
41.533 nan nan nan nan
41.600 nan nan nan nan
41.667 nan nan nan nan
41.733 nan nan nan nan
41.800 nan nan nan nan
41.867 nan nan nan nan
41.933 nan nan nan nan
42.000 nan nan nan nan
42.067 nan nan nan nan
42.133 nan nan nan nan
42.200 nan nan nan nan
42.267 nan nan nan nan
42.333 nan nan nan nan
42.400 nan nan nan nan
42.467 nan nan nan nan
42.533 nan nan nan nan
42.600 nan nan nan nan
42.667 nan nan nan nan
42.733 nan nan nan nan
42.800 nan nan nan nan
42.867 nan nan nan nan
42.933 nan nan nan nan
43.000 nan nan nan nan
43.067 nan nan nan nan
43.133 nan nan nan nan
43.200 nan nan nan nan
43.267 nan nan nan nan
43.333 nan nan nan nan
43.400 nan nan 0.259 0.686
43.467 nan nan nan nan
43.533 nan nan nan nan
43.600 nan nan 0.232 0.696
43.667 nan nan 0.224 0.698
43.733 nan nan 0.210 0.700
43.800 nan nan nan nan
43.867 nan nan 0.189 0.703
43.933 nan nan nan nan
44.000 nan nan nan nan
44.067 nan nan nan nan
44.133 nan nan nan nan
44.200 nan nan nan nan
44.267 nan nan 0.118 0.712
44.333 nan nan 0.109 0.711
44.400 nan nan 0.101 0.710
44.467 nan nan 0.095 0.709
44.533 nan nan 0.090 0.708
44.600 nan nan 0.086 0.708
44.667 nan nan nan nan
44.733 nan nan nan nan
44.800 nan nan nan nan
44.867 nan nan nan nan
44.933 nan nan 0.141 0.700
45.000 nan nan nan nan
45.067 nan nan nan nan
45.133 nan nan nan nan
45.200 nan nan 0.184 0.701
45.267 nan nan 0.197 0.704
45.333 nan nan 0.203 0.706
45.400 nan nan 0.212 0.706
45.467 nan nan 0.220 0.712
45.533 nan nan 0.225 0.714
45.600 nan nan nan nan
45.667 nan nan nan nan
45.733 nan nan nan nan
45.800 nan nan nan nan
45.867 nan nan nan nan
45.933 nan nan nan nan
46.000 nan nan nan nan
46.067 nan nan nan nan
46.133 nan nan nan nan
46.200 nan nan nan nan
46.267 nan nan nan nan
46.333 nan nan nan nan
46.400 nan nan nan nan
46.467 nan nan nan nan
46.533 nan nan nan nan
46.600 nan nan nan nan
46.667 nan nan nan nan
46.733 nan nan nan nan
46.800 nan nan nan nan
46.867 nan nan nan nan
46.933 nan nan nan nan
47.000 nan nan nan nan
47.067 nan nan nan nan
47.133 nan nan nan nan
47.200 nan nan nan nan
47.267 nan nan nan nan
47.333 nan nan nan nan
47.400 nan nan nan nan
47.467 nan nan nan nan
47.533 nan nan nan nan
47.600 nan nan nan nan
47.667 nan nan nan nan
47.733 nan nan nan nan
47.800 nan nan nan nan
47.867 nan nan nan nan
47.933 nan nan nan nan
48.000 nan nan nan nan
48.067 nan nan nan nan
48.133 nan nan nan nan
48.200 nan nan nan nan
48.267 nan nan nan nan
48.333 nan nan nan nan
48.400 nan nan nan nan
48.467 nan nan nan nan
48.533 nan nan nan nan
48.600 nan nan nan nan
48.667 nan nan nan nan
48.733 nan nan nan nan
48.800 nan nan nan nan
48.867 nan nan nan nan
48.933 nan nan nan nan
49.000 nan nan nan nan
49.067 nan nan nan nan
49.133 nan nan nan nan
49.200 nan nan nan nan
49.267 nan nan nan nan
49.333 nan nan nan nan
49.400 nan nan nan nan
49.467 nan nan nan nan
49.533 nan nan nan nan
49.600 nan nan nan nan
49.667 nan nan nan nan
49.733 nan nan nan nan
49.800 nan nan nan nan
49.867 nan nan nan nan
49.933 nan nan nan nan
50.000 nan nan nan nan
50.067 nan nan nan nan
50.133 nan nan nan nan
50.200 nan nan nan nan
50.267 nan nan nan nan
50.333 nan nan nan nan
50.400 nan nan nan nan
50.467 nan nan nan nan
50.533 nan nan nan nan
50.600 nan nan nan nan
50.667 nan nan nan nan
50.733 nan nan nan nan
50.800 nan nan nan nan
50.867 nan nan nan nan
50.933 nan nan nan nan
51.000 nan nan nan nan
51.067 nan nan nan nan
51.133 nan nan nan nan
51.200 nan nan nan nan
51.267 nan nan nan nan
51.333 nan nan nan nan
51.400 nan nan nan nan
51.467 nan nan nan nan
