# TimeStep fish0X fish0Y
0.000 0.370 0.584
0.067 0.377 0.580
0.133 0.383 0.576
0.200 0.388 0.573
0.267 0.391 0.571
0.333 0.395 0.568
0.400 0.398 0.566
0.467 0.400 0.564
0.533 0.402 0.563
0.600 0.404 0.561
0.667 0.407 0.555
0.733 0.412 0.549
0.800 0.415 0.543
0.867 0.417 0.538
0.933 0.419 0.534
1.000 0.420 0.530
1.067 0.424 0.527
1.133 0.434 0.520
1.200 0.443 0.513
1.267 0.450 0.508
1.333 0.456 0.503
1.400 0.460 0.500
1.467 0.465 0.497
1.533 0.476 0.491
1.600 0.485 0.486
1.667 0.492 0.481
1.733 0.498 0.477
1.800 0.502 0.473
1.867 0.505 0.466
1.933 0.509 0.456
2.000 0.511 0.448
2.067 0.513 0.441
2.133 0.514 0.435
2.200 0.517 0.429
2.267 0.525 0.420
2.333 0.530 0.413
2.400 0.535 0.406
2.467 0.545 0.398
2.533 0.555 0.393
2.600 0.564 0.389
2.667 0.571 0.385
2.733 0.577 0.382
2.800 0.581 0.380
2.867 0.588 0.375
2.933 0.595 0.367
3.000 0.601 0.359
3.067 0.606 0.353
3.133 0.610 0.348
3.200 0.613 0.344
3.267 0.616 0.341
3.333 0.618 0.335
3.400 0.620 0.323
3.467 0.622 0.314
3.533 0.630 0.306
3.600 0.636 0.301
3.667 0.641 0.296
3.733 0.645 0.293
3.800 0.648 0.290
3.867 0.651 0.288
3.933 0.654 0.286
4.000 0.663 0.281
4.067 0.673 0.276
4.133 0.683 0.270
4.200 0.691 0.265
4.267 0.698 0.261
4.333 0.702 0.255
4.400 0.707 0.243
4.467 0.709 0.232
4.533 0.710 0.224
4.600 0.711 0.217
4.667 0.707 0.207
4.733 0.702 0.198
4.800 0.695 0.191
4.867 0.694 0.187
4.933 0.693 0.181
5.000 0.693 0.172
5.067 0.694 0.163
5.133 0.695 0.158
5.200 0.696 0.152
5.267 0.696 0.142
5.333 0.696 0.132
5.400 0.696 0.125
5.467 0.697 0.119
5.533 0.697 0.114
5.600 0.696 0.107
5.667 0.694 0.097
5.733 0.697 0.088
5.800 0.699 0.082
5.867 0.701 0.076
5.933 0.704 0.072
6.000 0.708 0.067
6.067 0.713 0.062
6.133 0.721 0.058
6.200 0.726 0.059
6.267 0.732 0.060
6.333 0.738 0.060
6.400 0.742 0.061
6.467 0.748 0.063
6.533 0.756 0.066
6.600 0.765 0.071
6.667 0.772 0.075
6.733 0.778 0.079
6.800 0.783 0.082
6.867 0.787 0.085
6.933 0.791 0.087
7.000 0.794 0.089
7.067 0.797 0.091
7.133 0.803 0.095
7.200 0.807 0.098
7.267 0.811 0.100
7.333 0.814 0.102
7.400 0.817 0.104
7.467 0.820 0.106
7.533 0.822 0.107
7.600 0.823 0.108
7.667 0.832 0.108
7.733 0.840 0.107
7.800 0.846 0.107
7.867 0.852 0.106
7.933 0.856 0.105
8.000 0.862 0.101
8.067 0.871 0.094
8.133 0.879 0.085
8.200 0.885 0.079
8.267 0.890 0.074
8.333 0.894 0.071
8.400 0.898 0.067
8.467 0.901 0.064
8.533 0.904 0.062
8.600 0.911 0.059
8.667 0.919 0.058
8.733 0.928 0.062
8.800 0.931 0.064
8.867 0.933 0.069
8.933 0.932 0.081
9.000 0.932 0.087
9.067 0.932 0.093
9.133 0.931 0.096
9.200 0.931 0.100
9.267 0.926 0.106
9.333 0.920 0.114
9.400 0.913 0.123
9.467 0.908 0.129
9.533 0.904 0.134
9.600 0.900 0.139
9.667 0.897 0.143
9.733 0.894 0.146
9.800 0.892 0.150
9.867 0.889 0.157
9.933 0.887 0.164
10.000 0.885 0.170
10.067 0.883 0.176
10.133 0.883 0.180
10.200 0.886 0.188
10.267 0.889 0.195
10.333 0.891 0.200
10.400 0.893 0.205
10.467 0.895 0.210
10.533 0.897 0.214
10.600 0.898 0.218
10.667 0.899 0.221
10.733 0.900 0.223
10.800 0.901 0.226
10.867 0.901 0.228
10.933 0.901 0.234
11.000 0.902 0.242
11.067 0.903 0.247
11.133 0.903 0.253
11.200 0.903 0.257
11.267 0.903 0.261
11.333 0.903 0.264
11.400 0.905 0.267
11.467 0.911 0.269
11.533 0.916 0.271
11.600 0.920 0.273
11.667 0.923 0.274
11.733 0.925 0.276
11.800 0.926 0.279
11.867 0.924 0.285
11.933 0.922 0.291
12.000 0.919 0.294
12.067 0.915 0.295
12.133 0.910 0.296
12.200 0.903 0.296
12.267 0.896 0.295
12.333 0.890 0.295
12.400 0.884 0.294
12.467 0.878 0.293
12.533 0.874 0.292
12.600 0.870 0.292
12.667 0.868 0.291
12.733 0.860 0.288
12.800 0.850 0.283
12.867 0.841 0.280
12.933 0.834 0.278
13.000 0.828 0.276
13.067 0.823 0.275
13.133 0.819 0.273
13.200 0.815 0.272
13.267 0.812 0.272
13.333 0.809 0.271
13.400 0.802 0.270
13.467 0.794 0.269
13.533 0.787 0.269
13.600 0.782 0.269
13.667 0.777 0.269
13.733 0.773 0.269
13.800 0.770 0.268
13.867 0.766 0.270
13.933 0.755 0.273
14.000 0.745 0.278
14.067 0.736 0.282
14.133 0.729 0.285
14.200 0.722 0.288
14.267 0.717 0.290
14.333 0.713 0.292
14.400 0.709 0.293
14.467 0.705 0.295
14.533 0.703 0.296
14.600 0.700 0.297
14.667 0.697 0.298
14.733 0.695 0.299
14.800 0.693 0.300
14.867 0.690 0.301
14.933 0.684 0.304
15.000 0.675 0.308
15.067 0.668 0.311
15.133 0.661 0.315
15.200 0.656 0.317
15.267 0.652 0.320
15.333 0.648 0.322
15.400 0.645 0.323
15.467 0.642 0.324
15.533 0.641 0.325
15.600 0.635 0.330
15.667 0.630 0.334
15.733 0.626 0.338
15.800 0.623 0.341
15.867 0.620 0.344
15.933 0.617 0.346
16.000 0.615 0.348
16.067 0.613 0.350
16.133 0.607 0.354
16.200 0.600 0.363
16.267 0.596 0.369
16.333 0.591 0.375
16.400 0.588 0.380
16.467 0.585 0.384
16.533 0.583 0.387
16.600 0.581 0.390
16.667 0.578 0.393
16.733 0.575 0.396
16.800 0.566 0.402
16.867 0.557 0.410
16.933 0.549 0.416
17.000 0.543 0.421
17.067 0.538 0.425
17.133 0.533 0.428
17.200 0.529 0.431
17.267 0.526 0.434
17.333 0.523 0.435
17.400 0.520 0.439
17.467 0.516 0.450
17.533 0.513 0.460
17.600 0.511 0.468
17.667 0.509 0.474
17.733 0.508 0.480
17.800 0.507 0.485
17.867 0.506 0.488
17.933 0.505 0.492
18.000 0.504 0.496
18.067 0.503 0.499
18.133 0.500 0.505
18.200 0.495 0.516
18.267 0.490 0.528
18.333 0.485 0.538
18.400 0.485 0.538
18.467 0.482 0.546
18.533 0.476 0.558
18.600 0.475 0.562
18.667 0.465 0.569
18.733 0.454 0.577
18.800 0.445 0.583
18.867 0.437 0.588
18.933 0.431 0.591
19.000 0.424 0.595
19.067 0.419 0.598
19.133 0.415 0.600
19.200 0.412 0.602
19.267 0.409 0.604
19.333 0.406 0.606
19.400 0.404 0.607
19.467 0.399 0.608
19.533 0.389 0.611
19.600 0.377 0.613
19.667 0.370 0.615
19.733 0.362 0.616
19.800 0.356 0.616
19.867 0.351 0.616
19.933 0.347 0.617
20.000 0.344 0.617
20.067 0.340 0.617
20.133 0.338 0.617
20.200 0.334 0.621
20.267 0.330 0.630
20.333 0.328 0.635
20.400 0.326 0.641
20.467 0.324 0.646
20.533 0.322 0.649
20.600 0.321 0.652
20.667 0.320 0.655
20.733 0.319 0.657
20.800 0.319 0.661
20.867 0.323 0.671
20.933 0.328 0.678
21.000 0.331 0.685
21.067 0.334 0.690
21.133 0.336 0.694
21.200 0.339 0.698
21.267 0.340 0.701
21.333 0.342 0.704
21.400 0.341 0.705
21.467 0.343 0.706
21.533 0.346 0.707
21.600 0.350 0.705
21.667 0.354 0.700
21.733 0.359 0.696
21.800 0.362 0.693
21.867 0.366 0.690
21.933 0.368 0.687
22.000 0.371 0.685
22.067 0.372 0.683
22.133 0.374 0.682
22.200 0.376 0.680
22.267 0.378 0.678
22.333 0.381 0.672
22.400 0.382 0.662
22.467 0.382 0.654
22.533 0.382 0.648
22.600 0.382 0.642
22.667 0.383 0.638
22.733 0.383 0.634
22.800 0.383 0.631
22.867 0.386 0.623
22.933 0.388 0.615
23.000 0.391 0.609
23.067 0.393 0.603
23.133 0.395 0.599
23.200 0.396 0.595
23.267 0.397 0.592
23.333 0.398 0.589
23.400 0.398 0.583
23.467 0.395 0.575
23.533 0.392 0.568
23.600 0.389 0.563
23.667 0.388 0.560
23.733 0.395 0.554
23.800 0.403 0.550
23.867 0.407 0.546
23.933 0.411 0.543
24.000 0.415 0.540
