# TimeStep fish0X fish0Y
0.000 0.100 0.875
0.067 0.099 0.875
0.133 0.100 0.875
0.200 0.100 0.875
0.267 0.100 0.875
0.333 0.099 0.875
0.400 0.100 0.874
0.467 0.099 0.875
0.533 0.099 0.875
0.600 0.099 0.875
0.667 0.100 0.874
0.733 0.100 0.875
0.800 0.099 0.875
0.867 0.100 0.874
0.933 0.099 0.875
1.000 0.100 0.875
1.067 0.100 0.875
1.133 0.100 0.875
1.200 0.099 0.875
1.267 0.100 0.874
1.333 0.099 0.875
1.400 0.100 0.875
1.467 0.099 0.875
1.533 0.100 0.875
1.600 0.100 0.875
1.667 0.099 0.875
1.733 0.100 0.875
1.800 0.100 0.875
1.867 0.100 0.874
1.933 0.100 0.875
2.000 0.100 0.875
2.067 0.100 0.875
2.133 0.099 0.875
2.200 0.100 0.875
2.267 0.099 0.875
2.333 0.099 0.875
2.400 0.099 0.875
2.467 0.099 0.875
2.533 0.100 0.875
2.600 0.099 0.875
2.667 0.100 0.875
2.733 0.100 0.875
2.800 0.099 0.875
2.867 0.100 0.875
2.933 0.099 0.875
3.000 0.100 0.875
3.067 0.099 0.875
3.133 0.099 0.875
3.200 0.100 0.875
3.267 0.100 0.875
3.333 0.100 0.874
3.400 0.100 0.875
3.467 0.100 0.875
3.533 0.100 0.875
3.600 0.100 0.875
3.667 0.100 0.875
3.733 0.100 0.875
3.800 0.100 0.875
3.867 0.100 0.875
3.933 0.100 0.875
4.000 0.100 0.875
4.067 0.100 0.875
4.133 0.100 0.875
4.200 0.100 0.875
4.267 0.100 0.875
4.333 0.100 0.875
4.400 0.100 0.875
4.467 0.100 0.875
4.533 0.099 0.875
4.600 0.100 0.875
4.667 0.100 0.875
4.733 0.100 0.875
4.800 0.100 0.875
4.867 0.100 0.875
4.933 0.100 0.875
5.000 0.100 0.875
5.067 0.100 0.875
5.133 0.100 0.875
5.200 0.100 0.875
5.267 0.099 0.875
5.333 0.100 0.875
5.400 0.099 0.875
5.467 0.100 0.875
5.533 0.100 0.875
5.600 0.100 0.875
5.667 0.100 0.875
5.733 0.100 0.875
5.800 0.099 0.875
5.867 0.100 0.875
5.933 0.099 0.875
6.000 0.100 0.875
6.067 0.100 0.875
6.133 0.099 0.875
6.200 0.100 0.875
6.267 0.099 0.875
6.333 0.099 0.875
6.400 0.099 0.875
