# TimeStep fish0X fish0Y
0.000 0.774 0.092
0.067 0.769 0.092
0.133 0.765 0.092
0.200 0.761 0.092
0.267 0.757 0.092
0.333 0.753 0.092
0.400 0.750 0.092
0.467 0.747 0.092
0.533 0.743 0.091
0.600 0.737 0.089
0.667 0.733 0.088
0.733 0.728 0.087
0.800 0.724 0.086
0.867 0.721 0.085
0.933 0.719 0.085
1.000 0.717 0.085
1.067 0.709 0.087
1.133 0.707 0.088
1.200 0.706 0.090
1.267 0.705 0.100
1.333 0.706 0.107
1.400 0.707 0.114
1.467 0.708 0.119
1.533 0.708 0.125
1.600 0.712 0.129
1.667 0.720 0.140
1.733 0.726 0.147
1.800 0.732 0.154
1.867 0.736 0.160
1.933 0.740 0.165
2.000 0.744 0.170
2.067 0.747 0.174
2.133 0.749 0.178
2.200 0.752 0.182
2.267 0.753 0.185
2.333 0.756 0.193
2.400 0.760 0.201
2.467 0.765 0.210
2.533 0.768 0.216
2.600 0.771 0.222
2.667 0.774 0.226
2.733 0.776 0.230
2.800 0.777 0.233
2.867 0.779 0.237
2.933 0.781 0.240
3.000 0.782 0.242
3.067 0.786 0.245
3.133 0.794 0.251
3.200 0.801 0.256
3.267 0.808 0.261
3.333 0.813 0.266
3.400 0.818 0.269
3.467 0.822 0.273
3.533 0.825 0.276
3.600 0.828 0.278
3.667 0.835 0.280
3.733 0.842 0.282
3.800 0.848 0.284
3.867 0.854 0.286
3.933 0.858 0.287
4.000 0.862 0.289
4.067 0.867 0.288
4.133 0.879 0.286
4.200 0.888 0.284
4.267 0.895 0.285
4.333 0.900 0.289
4.400 0.904 0.293
4.467 0.907 0.296
4.533 0.909 0.296
4.600 0.917 0.290
4.667 0.923 0.286
4.733 0.929 0.284
4.800 0.932 0.282
4.867 0.935 0.280
4.933 0.938 0.278
5.000 0.944 0.270
5.067 0.947 0.264
5.133 0.947 0.259
5.200 0.946 0.253
5.267 0.946 0.249
5.333 0.945 0.246
5.400 0.943 0.239
5.467 0.942 0.234
5.533 0.942 0.231
5.600 0.941 0.227
5.667 0.940 0.223
5.733 0.940 0.216
5.800 0.942 0.204
5.867 0.942 0.199
5.933 0.942 0.194
6.000 0.943 0.188
6.067 0.940 0.183
6.133 0.935 0.169
6.200 0.932 0.162
6.267 0.929 0.155
6.333 0.926 0.149
6.400 0.924 0.143
6.467 0.923 0.138
6.533 0.923 0.130
6.600 0.923 0.125
6.667 0.923 0.121
6.733 0.924 0.117
6.800 0.924 0.113
6.867 0.924 0.109
6.933 0.924 0.107
7.000 0.924 0.105
7.067 0.925 0.102
7.133 0.925 0.100
7.200 0.925 0.096
7.267 0.927 0.089
7.333 0.929 0.084
7.400 0.930 0.081
7.467 0.931 0.080
7.533 0.933 0.076
7.600 0.935 0.074
7.667 0.938 0.071
7.733 0.940 0.069
7.800 0.942 0.064
7.867 0.943 0.062
7.933 0.943 0.061
8.000 0.942 0.062
8.067 0.939 0.060
8.133 0.937 0.058
8.200 0.936 0.057
8.267 0.934 0.056
8.333 0.933 0.055
8.400 0.932 0.055
8.467 0.924 0.058
8.533 0.919 0.059
8.600 0.919 0.059
8.667 0.915 0.061
8.733 0.908 0.063
8.800 0.904 0.065
8.867 0.902 0.067
8.933 0.899 0.079
9.000 0.898 0.085
9.067 0.897 0.091
9.133 0.896 0.097
9.200 0.896 0.097
9.267 0.895 0.102
9.333 0.896 0.111
9.400 0.899 0.121
9.467 0.903 0.129
9.533 0.905 0.135
9.600 0.908 0.140
9.667 0.911 0.145
9.733 0.918 0.149
9.800 0.923 0.153
9.867 0.927 0.155
9.933 0.931 0.158
10.000 0.933 0.159
10.067 0.936 0.161
10.133 0.938 0.163
10.200 0.942 0.168
10.267 0.945 0.173
10.333 0.948 0.178
10.400 0.949 0.183
10.467 0.947 0.192
10.533 0.946 0.199
10.600 0.945 0.205
10.667 0.944 0.209
10.733 0.943 0.215
10.800 0.943 0.219
10.867 0.942 0.221
10.933 0.942 0.224
11.000 0.942 0.226
11.067 0.942 0.228
11.133 0.941 0.232
11.200 0.941 0.237
11.267 0.941 0.242
11.333 0.941 0.247
11.400 0.941 0.250
11.467 0.941 0.254
11.533 0.941 0.257
11.600 0.941 0.260
11.667 0.941 0.263
11.733 0.940 0.264
11.800 0.935 0.272
11.867 0.933 0.277
11.933 0.929 0.282
12.000 0.926 0.286
12.067 0.923 0.290
12.133 0.921 0.293
12.200 0.920 0.295
12.267 0.918 0.298
12.333 0.916 0.301
12.400 0.916 0.301
12.467 0.916 0.302
12.533 0.911 0.305
12.600 0.908 0.305
12.667 0.902 0.306
12.733 0.895 0.306
12.800 0.890 0.307
12.867 0.886 0.308
12.933 0.882 0.307
13.000 0.878 0.307
13.067 0.873 0.307
13.133 0.869 0.307
13.200 0.865 0.307
13.267 0.863 0.307
13.333 0.860 0.307
