# TimeStep fish0X fish0Y
0.000 nan nan
0.067 nan nan
0.133 nan nan
0.200 0.366 0.666
0.267 nan nan
0.333 nan nan
0.400 nan nan
0.467 nan nan
0.533 0.401 0.636
0.600 0.409 0.626
0.667 nan nan
0.733 nan nan
0.800 nan nan
0.867 nan nan
0.933 nan nan
1.000 nan nan
1.067 nan nan
1.133 nan nan
1.200 nan nan
1.267 nan nan
1.333 nan nan
1.400 nan nan
1.467 nan nan
1.533 nan nan
1.600 nan nan
1.667 nan nan
1.733 nan nan
1.800 nan nan
1.867 nan nan
1.933 nan nan
2.000 nan nan
2.067 nan nan
2.133 nan nan
2.200 nan nan
2.267 nan nan
2.333 nan nan
2.400 nan nan
2.467 0.477 0.520
2.533 nan nan
2.600 nan nan
2.667 nan nan
2.733 nan nan
2.800 0.512 0.495
2.867 nan nan
2.933 nan nan
3.000 nan nan
3.067 nan nan
3.133 0.555 0.456
3.200 0.568 0.447
3.267 0.578 0.439
3.333 nan nan
3.400 nan nan
3.467 nan nan
3.533 nan nan
3.600 nan nan
3.667 nan nan
3.733 0.624 0.394
3.800 0.629 0.389
3.867 nan nan
3.933 nan nan
4.000 nan nan
4.067 0.643 0.376
4.133 0.643 0.376
4.200 0.648 0.368
4.267 nan nan
4.333 nan nan
4.400 nan nan
4.467 nan nan
4.533 nan nan
4.600 nan nan
4.667 nan nan
4.733 nan nan
4.800 nan nan
4.867 nan nan
4.933 nan nan
5.000 nan nan
5.067 nan nan
5.133 0.699 0.282
5.200 nan nan
5.267 nan nan
5.333 nan nan
5.400 nan nan
5.467 nan nan
5.533 nan nan
5.600 0.772 0.275
5.667 0.772 0.275
5.733 0.783 0.278
5.800 0.798 0.284
5.867 0.804 0.285
5.933 0.804 0.285
6.000 0.813 0.282
6.067 nan nan
6.133 nan nan
6.200 nan nan
6.267 nan nan
6.333 nan nan
6.400 nan nan
6.467 nan nan
6.533 nan nan
6.600 nan nan
6.667 nan nan
6.733 nan nan
6.800 0.903 0.259
6.867 0.910 0.263
6.933 0.916 0.266
7.000 0.917 0.269
7.067 nan nan
7.133 nan nan
7.200 nan nan
7.267 nan nan
7.333 nan nan
7.400 nan nan
7.467 nan nan
7.533 nan nan
7.600 nan nan
7.667 nan nan
7.733 nan nan
7.800 nan nan
7.867 0.803 0.279
7.933 nan nan
8.000 nan nan
8.067 nan nan
8.133 nan nan
8.200 nan nan
8.267 nan nan
8.333 nan nan
8.400 nan nan
8.467 nan nan
8.533 nan nan
8.600 nan nan
8.667 nan nan
8.733 nan nan
8.800 nan nan
8.867 0.693 0.315
8.933 nan nan
9.000 nan nan
