# Time(s) fish0X fish0Y
0.000 0.350 0.881
1.000 0.270 0.913
2.000 0.193 0.916
3.000 0.137 0.912
4.000 0.118 0.975
5.000 0.142 1.036
6.000 0.193 1.088
7.000 0.272 1.052
8.000 0.329 1.013
9.000 0.378 0.980
10.000 0.414 0.927
11.000 0.449 0.880
12.000 0.419 0.840
13.000 0.445 0.801
14.000 0.431 0.765
15.000 0.377 0.770
16.000 0.359 0.803
17.000 0.382 0.850
18.000 0.433 0.841
19.000 0.465 0.802
20.000 0.431 0.745
21.000 0.404 0.667
22.000 0.445 0.618
23.000 0.518 0.766
24.000 0.575 0.886
25.000 0.633 0.993
26.000 0.731 1.052
27.000 0.836 1.073
28.000 0.958 1.075
29.000 1.067 1.067
30.000 1.142 1.027
31.000 1.164 0.923
32.000 1.170 0.813
33.000 1.167 0.697
34.000 1.160 0.571
35.000 1.167 0.469
36.000 1.152 0.364
37.000 1.104 0.270
38.000 1.037 0.194
39.000 0.951 0.166
40.000 0.854 0.163
41.000 0.763 0.141
42.000 0.670 0.117
43.000 0.560 0.099
44.000 0.448 0.096
45.000 0.385 0.142
46.000 0.361 0.202
47.000 0.360 0.265
48.000 0.361 0.323
49.000 0.342 0.386
50.000 0.329 0.420
51.000 0.329 0.460
52.000 0.287 0.513
53.000 0.205 0.513
54.000 0.156 0.455
55.000 0.097 0.408
56.000 0.142 0.358
57.000 0.259 0.359
58.000 0.360 0.357
59.000 0.441 0.377
60.000 0.548 0.379
61.000 0.642 0.408
62.000 0.721 0.415
63.000 0.793 0.419
64.000 0.878 0.479
65.000 0.898 0.583
66.000 0.841 0.640
67.000 0.780 0.709
68.000 0.779 0.800
69.000 0.735 0.875
70.000 0.669 0.893
71.000 0.630 0.950
72.000 0.617 1.017
73.000 0.614 1.079
74.000 0.494 1.092
75.000 0.419 1.025
76.000 0.335 0.971
77.000 0.265 0.894
78.000 0.315 0.816
79.000 0.327 0.744
80.000 0.387 0.676
81.000 0.454 0.649
82.000 0.528 0.625
83.000 0.599 0.617
84.000 0.658 0.621
85.000 0.762 0.648
86.000 0.802 0.740
87.000 0.816 0.835
88.000 0.851 0.926
89.000 0.906 0.987
90.000 0.949 1.045
91.000 0.993 1.113
92.000 1.077 1.136
93.000 1.144 1.157
94.000 1.057 1.152
95.000 0.967 1.140
96.000 0.880 1.118
97.000 0.787 1.101
98.000 0.720 1.050
99.000 0.626 1.020
100.000 0.597 0.988
101.000 0.566 0.930
102.000 0.468 0.931
103.000 0.420 0.983
104.000 0.424 0.954
105.000 0.418 0.971
106.000 0.418 0.951
107.000 0.404 0.978
108.000 0.411 1.011
109.000 0.465 1.000
110.000 0.537 0.985
111.000 0.582 0.930
112.000 0.528 0.877
113.000 0.483 0.811
114.000 0.449 0.770
115.000 0.450 0.722
116.000 0.487 0.685
117.000 0.508 0.636
118.000 0.495 0.578
119.000 0.433 0.585
120.000 0.393 0.618
121.000 0.362 0.692
122.000 0.362 0.760
123.000 0.291 0.782
124.000 0.217 0.826
125.000 0.141 0.847
