# Time(s) fish0X fish0Y
265.000 1.185 0.231
266.000 1.192 0.276
267.000 1.182 0.343
268.000 1.186 0.382
269.000 1.181 0.442
270.000 1.182 0.497
271.000 1.177 0.549
272.000 1.186 0.592
273.000 1.173 0.659
274.000 1.175 0.721
275.000 1.165 0.795
276.000 1.182 0.872
277.000 1.174 0.936
278.000 1.172 1.011
279.000 1.165 1.082
280.000 1.149 1.152
281.000 1.124 1.175
282.000 1.110 1.150
283.000 1.115 1.135
284.000 1.151 1.109
285.000 1.165 1.060
286.000 1.158 1.032
287.000 1.169 0.977
288.000 1.161 0.903
289.000 1.177 0.822
290.000 1.171 0.731
291.000 1.174 0.646
292.000 1.169 0.550
293.000 1.171 0.450
294.000 1.176 0.394
295.000 1.175 0.308
296.000 1.175 0.197
297.000 1.171 0.082
298.000 1.148 0.037
299.000 1.113 0.044
300.000 1.057 0.029
301.000 0.965 0.032
302.000 0.854 0.035
303.000 0.738 0.023
304.000 0.633 0.020
305.000 0.490 0.032
306.000 0.355 0.035
307.000 0.243 0.023
308.000 0.158 0.029
309.000 0.071 0.036
310.000 0.093 0.031
311.000 0.176 0.032
312.000 0.249 0.044
313.000 0.342 0.042
314.000 0.409 0.041
315.000 0.484 0.017
316.000 0.584 0.028
317.000 0.666 0.024
318.000 0.737 0.013
319.000 0.806 0.014
320.000 0.892 0.017
321.000 0.968 0.023
322.000 1.044 0.024
323.000 1.101 0.039
324.000 1.169 0.042
325.000 1.175 0.073
326.000 1.181 0.134
327.000 1.175 0.184
328.000 1.171 0.243
329.000 1.181 0.313
330.000 1.188 0.382
331.000 1.183 0.454
332.000 1.179 0.530
333.000 1.175 0.596
334.000 1.174 0.654
335.000 1.177 0.729
336.000 1.182 0.803
337.000 1.180 0.875
338.000 1.168 0.960
339.000 1.148 1.048
340.000 1.167 1.121
341.000 1.140 1.171
342.000 1.075 1.175
343.000 1.005 1.171
344.000 0.933 1.179
345.000 0.848 1.182
346.000 0.769 1.183
347.000 0.687 1.184
348.000 0.618 1.180
349.000 0.563 1.178
350.000 0.481 1.186
351.000 0.391 1.179
352.000 0.320 1.177
353.000 0.225 1.163
354.000 0.130 1.168
355.000 0.063 1.155
356.000 0.082 1.130
357.000 0.144 1.134
358.000 0.205 1.171
359.000 0.254 1.160
360.000 0.304 1.165
361.000 0.370 1.170
362.000 0.443 1.177
363.000 0.505 1.172
364.000 0.571 1.174
365.000 0.644 1.182
366.000 0.712 1.175
367.000 0.776 1.174
368.000 0.863 1.187
369.000 0.973 1.181
370.000 1.008 1.181
371.000 0.934 1.185
372.000 0.859 1.182
373.000 0.866 1.126
374.000 0.961 1.115
375.000 1.048 1.135
376.000 1.118 1.166
377.000 1.162 1.132
378.000 1.163 1.069
379.000 1.165 1.012
380.000 1.174 0.960
381.000 1.181 0.884
382.000 1.176 0.812
383.000 1.178 0.749
384.000 1.164 0.660
385.000 1.174 0.581
386.000 1.178 0.500
387.000 1.189 0.398
388.000 1.180 0.301
389.000 1.182 0.220
390.000 1.182 0.123
391.000 1.173 0.051
392.000 1.113 0.037
393.000 1.051 0.048
394.000 0.979 0.045
395.000 0.898 0.043
396.000 0.824 0.037
397.000 0.729 0.039
398.000 0.628 0.039
399.000 0.515 0.041
400.000 0.392 0.042
401.000 0.298 0.051
402.000 0.198 0.059
403.000 0.111 0.074
404.000 0.067 0.096
405.000 0.046 0.175
406.000 0.045 0.260
407.000 0.063 0.334
408.000 0.028 0.426
409.000 0.028 0.512
410.000 0.053 0.576
411.000 0.074 0.609
412.000 0.029 0.502
413.000 0.035 0.333
414.000 0.036 0.207
415.000 0.042 0.090
416.000 0.055 0.029
417.000 0.103 0.032
418.000 0.163 0.027
419.000 0.230 0.025
420.000 0.307 0.025
421.000 0.413 0.016
422.000 0.501 0.020
423.000 0.559 0.018
424.000 0.646 0.012
425.000 0.739 0.010
426.000 0.832 0.010
427.000 0.924 0.013
428.000 1.010 0.022
429.000 1.097 0.019
430.000 1.163 0.031
431.000 1.183 0.077
432.000 1.183 0.134
433.000 1.192 0.205
434.000 1.181 0.286
435.000 1.184 0.352
436.000 1.189 0.449
437.000 1.180 0.556
438.000 1.179 0.653
439.000 1.178 0.756
440.000 1.183 0.864
441.000 1.180 0.956
442.000 1.171 1.045
443.000 1.169 1.129
444.000 1.143 1.178
445.000 1.101 1.169
446.000 1.083 1.136
447.000 1.161 1.067
448.000 1.164 1.001
449.000 1.172 0.950
450.000 1.173 0.907
451.000 1.177 0.876
452.000 1.176 0.825
453.000 1.181 0.777
454.000 1.170 0.707
455.000 1.181 0.630
456.000 1.179 0.541
457.000 1.171 0.462
458.000 1.179 0.373
459.000 1.187 0.266
460.000 1.179 0.172
461.000 1.176 0.091
462.000 1.182 0.071
463.000 1.172 0.128
464.000 1.177 0.178
465.000 1.172 0.207
466.000 1.180 0.244
467.000 1.178 0.289
468.000 1.188 0.338
469.000 1.193 0.406
470.000 1.180 0.472
471.000 1.192 0.567
472.000 1.184 0.647
473.000 1.185 0.740
474.000 1.189 0.831
475.000 1.181 0.927
476.000 1.175 1.012
477.000 1.167 1.108
478.000 1.149 1.175
479.000 1.110 1.173
480.000 1.032 1.179
481.000 0.946 1.184
482.000 0.828 1.180
483.000 0.722 1.184
484.000 0.607 1.188
485.000 0.508 1.182
486.000 0.400 1.184
487.000 0.295 1.180
488.000 0.181 1.174
489.000 0.067 1.164
490.000 0.033 1.126
491.000 0.034 1.060
492.000 0.033 0.976
493.000 0.021 0.878
494.000 0.028 0.783
495.000 0.014 0.671
496.000 0.016 0.561
497.000 0.025 0.451
498.000 0.036 0.375
499.000 0.040 0.313
500.000 0.025 0.232
501.000 0.029 0.151
502.000 0.042 0.067
503.000 0.035 0.039
504.000 0.036 0.085
505.000 0.043 0.111
506.000 0.037 0.151
507.000 0.057 0.143
508.000 0.058 0.073
509.000 0.043 0.036
510.000 0.045 0.061
511.000 0.041 0.091
512.000 0.042 0.124
513.000 0.031 0.174
514.000 0.027 0.231
515.000 0.025 0.292
516.000 0.024 0.350
517.000 0.021 0.403
518.000 0.024 0.337
519.000 0.029 0.232
520.000 0.030 0.144
521.000 0.037 0.054
522.000 0.082 0.033
523.000 0.142 0.034
524.000 0.215 0.024
525.000 0.271 0.043
526.000 0.342 0.035
527.000 0.409 0.022
528.000 0.493 0.048
529.000 0.582 0.029
530.000 0.663 0.027
531.000 0.754 0.023
532.000 0.881 0.020
533.000 1.014 0.019
534.000 1.131 0.032
535.000 1.173 0.073
536.000 1.176 0.166
537.000 1.179 0.269
538.000 1.174 0.371
539.000 1.163 0.456
540.000 1.188 0.570
541.000 1.168 0.723
542.000 1.181 0.853
543.000 1.162 0.999
544.000 1.162 1.114
545.000 1.133 1.174
546.000 1.038 1.154
547.000 0.944 1.182
548.000 0.816 1.175
549.000 0.689 1.188
550.000 0.568 1.170
551.000 0.460 1.174
552.000 0.347 1.175
553.000 0.222 1.161
554.000 0.119 1.155
555.000 0.050 1.139
556.000 0.061 1.092
557.000 0.031 1.001
558.000 0.118 1.026
559.000 0.111 1.117
560.000 0.194 1.154
561.000 0.322 1.169
562.000 0.429 1.170
563.000 0.538 1.160
564.000 0.647 1.157
565.000 0.740 1.154
566.000 0.838 1.173
567.000 0.931 1.174
568.000 1.004 1.097
569.000 1.111 0.764
570.000 1.095 0.467
571.000 1.020 0.173
572.000 0.826 0.030
573.000 0.611 0.026
574.000 0.424 0.031
575.000 0.245 0.025
576.000 0.086 0.033
577.000 0.032 0.071
578.000 0.033 0.119
579.000 0.026 0.185
580.000 0.028 0.262
581.000 0.021 0.350
582.000 0.031 0.449
583.000 0.025 0.516
584.000 0.024 0.601
585.000 0.028 0.683
586.000 0.020 0.761
587.000 0.033 0.870
588.000 0.039 0.989
589.000 0.057 1.092
590.000 0.053 1.159
591.000 0.041 1.138
592.000 0.058 1.144
593.000 0.081 1.154
594.000 0.095 1.159
595.000 0.121 1.162
596.000 0.143 1.165
597.000 0.161 1.165
598.000 0.172 1.162
599.000 0.195 1.167
600.000 0.226 1.166
601.000 0.270 1.170
602.000 0.320 1.168
603.000 0.386 1.179
604.000 0.452 1.174
605.000 0.511 1.184
606.000 0.587 1.174
607.000 0.654 1.178
608.000 0.740 1.171
609.000 0.851 1.172
610.000 0.942 1.168
611.000 1.050 1.166
612.000 1.151 1.156
613.000 1.137 1.172
614.000 1.137 1.143
615.000 1.160 1.106
616.000 1.172 1.034
617.000 1.175 0.975
618.000 1.184 0.892
619.000 1.166 0.817
620.000 1.175 0.719
621.000 1.174 0.592
622.000 1.174 0.483
623.000 1.181 0.338
624.000 1.175 0.190
625.000 1.162 0.059
626.000 1.173 0.054
627.000 1.134 0.063
628.000 1.047 0.039
629.000 0.967 0.023
630.000 0.865 0.040
631.000 0.770 0.022
632.000 0.675 0.032
633.000 0.591 0.029
634.000 0.505 0.025
635.000 0.364 0.025
636.000 0.240 0.025
637.000 0.138 0.029
638.000 0.043 0.063
639.000 0.037 0.171
640.000 0.041 0.255
641.000 0.038 0.338
642.000 0.028 0.420
643.000 0.064 0.412
644.000 0.019 0.302
645.000 0.024 0.162
646.000 0.034 0.051
647.000 0.073 0.030
648.000 0.083 0.066
649.000 0.040 0.128
650.000 0.035 0.194
651.000 0.033 0.268
652.000 0.032 0.350
653.000 0.022 0.381
654.000 0.026 0.446
655.000 0.019 0.533
656.000 0.034 0.628
657.000 0.038 0.745
658.000 0.040 0.854
659.000 0.034 1.010
660.000 0.055 1.138
661.000 0.125 1.159
662.000 0.227 1.153
663.000 0.293 1.137
664.000 0.387 1.159
665.000 0.510 1.169
666.000 0.571 1.168
667.000 0.724 1.175
668.000 0.885 1.170
669.000 1.051 1.171
670.000 1.148 1.149
671.000 1.159 1.065
672.000 1.065 1.097
673.000 1.098 1.176
674.000 1.154 1.150
675.000 1.154 1.093
676.000 1.154 1.033
677.000 1.151 1.094
678.000 1.150 1.172
679.000 1.107 1.171
680.000 1.043 1.173
681.000 0.986 1.187
682.000 0.927 1.168
683.000 0.855 1.180
684.000 0.779 1.180
685.000 0.704 1.177
686.000 0.669 1.180
687.000 0.600 1.183
688.000 0.513 1.176
689.000 0.444 1.169
690.000 0.355 1.177
691.000 0.251 1.172
692.000 0.185 1.162
693.000 0.119 1.158
694.000 0.058 1.157
695.000 0.049 1.158
696.000 0.045 1.130
697.000 0.041 1.093
698.000 0.046 1.047
699.000 0.035 1.002
700.000 0.064 1.007
701.000 0.063 1.049
702.000 0.080 1.011
703.000 0.203 1.006
704.000 0.161 0.911
705.000 0.121 0.851
706.000 0.230 0.855
707.000 0.329 0.801
708.000 0.420 0.788
709.000 0.576 0.920
710.000 0.795 1.004
711.000 1.012 1.043
712.000 1.150 1.095
713.000 1.152 1.170
714.000 1.112 1.178
715.000 1.077 1.178
716.000 1.057 1.164
717.000 1.131 1.157
718.000 1.163 1.138
719.000 1.157 1.102
720.000 1.163 1.060
721.000 1.163 1.022
722.000 1.172 0.947
723.000 1.172 0.860
724.000 1.172 0.788
725.000 1.165 0.676
726.000 1.185 0.562
727.000 1.175 0.413
728.000 1.176 0.296
729.000 1.178 0.127
730.000 1.130 0.031
731.000 1.047 0.031
732.000 0.946 0.031
733.000 0.831 0.021
734.000 0.684 0.026
735.000 0.519 0.032
736.000 0.342 0.031
737.000 0.212 0.035
738.000 0.092 0.033
739.000 0.047 0.067
740.000 0.048 0.171
741.000 0.047 0.257
742.000 0.048 0.353
743.000 0.039 0.469
744.000 0.028 0.609
745.000 0.035 0.752
746.000 0.034 0.913
747.000 0.038 1.050
748.000 0.045 1.136
749.000 0.101 1.153
750.000 0.205 1.165
751.000 0.324 1.165
752.000 0.452 1.163
753.000 0.579 1.169
754.000 0.695 1.176
755.000 0.836 1.167
756.000 0.996 1.175
757.000 1.123 1.162
758.000 1.152 1.072
759.000 1.161 0.965
760.000 1.166 0.846
761.000 1.164 0.711
762.000 1.172 0.565
763.000 1.172 0.426
764.000 1.149 0.308
765.000 1.122 0.170
766.000 1.028 0.112
767.000 0.935 0.161
768.000 0.794 0.129
769.000 0.698 0.016
770.000 0.568 0.042
771.000 0.431 0.053
772.000 0.267 0.061
773.000 0.126 0.098
774.000 0.058 0.099
775.000 0.045 0.216
776.000 0.061 0.339
777.000 0.032 0.465
778.000 0.040 0.619
779.000 0.109 0.721
780.000 0.211 0.802
781.000 0.375 0.884
782.000 0.555 0.971
783.000 0.759 1.017
784.000 0.961 1.033
785.000 1.123 1.101
786.000 1.153 1.163
787.000 1.104 1.173
788.000 1.058 1.169
789.000 1.123 1.128
790.000 1.166 1.090
791.000 1.162 1.030
792.000 1.164 0.920
793.000 1.151 0.824
794.000 1.169 0.704
795.000 1.169 0.582
796.000 1.164 0.454
797.000 1.163 0.329
798.000 1.187 0.237
799.000 1.179 0.153
800.000 1.138 0.086
801.000 1.100 0.028
802.000 0.999 0.050
803.000 0.871 0.028
804.000 0.726 0.036
805.000 0.563 0.030
806.000 0.414 0.028
807.000 0.295 0.071
808.000 0.259 0.154
809.000 0.252 0.265
810.000 0.319 0.273
811.000 0.359 0.275
812.000 0.359 0.080
813.000 0.233 0.040
814.000 0.125 0.053
815.000 0.061 0.132
816.000 0.057 0.235
817.000 0.030 0.321
818.000 0.033 0.429
819.000 0.044 0.566
820.000 0.111 0.682
821.000 0.235 0.683
822.000 0.325 0.621
823.000 0.425 0.676
824.000 0.514 0.802
825.000 0.552 0.968
826.000 0.661 1.099
827.000 0.838 1.137
828.000 0.998 1.148
829.000 1.118 1.161
830.000 1.147 1.038
831.000 1.162 0.934
832.000 1.156 0.831
833.000 1.155 0.681
834.000 1.163 0.532
835.000 1.142 0.418
836.000 1.168 0.318
837.000 1.181 0.220
838.000 1.172 0.107
839.000 1.157 0.029
840.000 1.041 0.035
841.000 0.939 0.045
842.000 0.805 0.035
843.000 0.681 0.033
844.000 0.576 0.041
845.000 0.461 0.046
846.000 0.346 0.020
847.000 0.228 0.027
848.000 0.151 0.031
849.000 0.067 0.090
850.000 0.053 0.199
851.000 0.037 0.311
852.000 0.055 0.408
853.000 0.040 0.522
854.000 0.030 0.658
855.000 0.108 0.772
856.000 0.103 0.896
857.000 0.047 0.993
858.000 0.045 1.082
859.000 0.094 1.149
860.000 0.186 1.149
861.000 0.251 1.140
862.000 0.369 1.146
863.000 0.502 1.154
864.000 0.502 1.076
865.000 0.601 1.133
866.000 0.725 1.162
867.000 0.817 1.177
868.000 0.886 1.153
869.000 1.018 1.165
870.000 1.124 1.164
871.000 1.158 1.064
872.000 1.163 0.972
873.000 1.147 0.858
874.000 1.154 0.726
875.000 1.149 0.598
876.000 1.181 0.504
877.000 1.162 0.379
878.000 1.183 0.273
879.000 1.183 0.178
880.000 1.163 0.085
881.000 1.063 0.052
882.000 0.972 0.062
883.000 0.863 0.032
884.000 0.735 0.031
885.000 0.607 0.041
886.000 0.475 0.040
887.000 0.367 0.032
888.000 0.261 0.057
889.000 0.234 0.153
890.000 0.135 0.244
891.000 0.039 0.299
892.000 0.039 0.451
893.000 0.051 0.570
894.000 0.097 0.677
895.000 0.054 0.791
896.000 0.038 0.939
897.000 0.042 1.065
898.000 0.092 1.145
899.000 0.191 1.147
900.000 0.273 1.153
901.000 0.400 1.158
902.000 0.505 1.146
903.000 0.595 1.115
904.000 0.686 1.025
905.000 0.798 1.007
906.000 0.898 1.023
907.000 0.960 0.911
908.000 1.090 0.880
909.000 1.106 0.966
910.000 1.172 1.042
911.000 1.170 1.142
912.000 1.127 1.179
913.000 1.033 1.170
914.000 0.951 1.161
915.000 0.827 1.164
916.000 0.728 1.176
917.000 0.635 1.176
918.000 0.571 1.176
919.000 0.469 1.180
920.000 0.364 1.176
921.000 0.258 1.170
922.000 0.166 1.157
923.000 0.070 1.159
924.000 0.076 1.159
925.000 0.087 1.136
926.000 0.123 1.114
927.000 0.177 1.126
928.000 0.252 1.166
929.000 0.327 1.161
930.000 0.414 1.162
931.000 0.515 1.170
932.000 0.593 1.155
933.000 0.688 1.171
934.000 0.807 1.165
