# Time(s) fish0X fish0Y
0.000 1.132 1.062
1.000 1.106 1.111
2.000 1.106 1.156
3.000 1.122 1.180
4.000 1.151 1.177
5.000 1.157 1.148
6.000 1.155 1.128
7.000 1.162 1.100
8.000 1.167 1.065
9.000 1.173 1.039
10.000 1.179 1.011
11.000 1.174 0.966
12.000 1.182 0.910
13.000 1.174 0.856
14.000 1.178 0.793
15.000 1.185 0.702
16.000 1.186 0.636
17.000 1.196 0.543
18.000 1.190 0.430
19.000 1.197 0.334
20.000 1.196 0.243
21.000 1.183 0.165
22.000 1.167 0.087
23.000 1.186 0.028
24.000 1.165 0.056
25.000 1.105 0.040
26.000 1.039 0.015
27.000 0.981 0.014
28.000 0.940 0.016
29.000 0.923 0.009
30.000 0.966 0.026
31.000 1.009 0.026
32.000 1.041 0.027
33.000 1.091 0.027
34.000 1.142 0.035
35.000 1.181 0.062
36.000 1.173 0.106
37.000 1.159 0.140
38.000 1.120 0.161
39.000 1.081 0.100
40.000 1.021 0.039
41.000 0.958 0.021
42.000 0.885 0.011
43.000 0.824 0.002
44.000 0.759 0.014
45.000 0.678 0.021
46.000 0.595 0.007
47.000 0.520 0.015
48.000 0.440 0.008
49.000 0.361 0.015
50.000 0.289 0.019
51.000 0.208 0.021
52.000 0.132 0.016
53.000 0.061 0.030
54.000 0.025 0.059
55.000 0.018 0.121
56.000 0.025 0.189
57.000 0.005 0.250
58.000 0.006 0.319
59.000 0.012 0.398
60.000 0.020 0.467
61.000 0.014 0.561
62.000 0.028 0.640
63.000 0.042 0.699
64.000 0.058 0.779
65.000 0.079 0.873
66.000 0.124 0.950
67.000 0.195 0.949
68.000 0.190 0.888
69.000 0.094 0.853
70.000 0.055 0.767
71.000 0.084 0.691
72.000 0.105 0.594
73.000 0.124 0.502
74.000 0.137 0.410
75.000 0.227 0.362
76.000 0.326 0.345
77.000 0.360 0.399
78.000 0.410 0.496
79.000 0.503 0.537
80.000 0.616 0.480
81.000 0.743 0.443
82.000 0.873 0.389
83.000 1.021 0.347
84.000 1.156 0.286
85.000 1.191 0.201
86.000 1.183 0.121
87.000 1.188 0.036
88.000 1.166 0.012
89.000 1.134 0.007
90.000 1.115 0.004
91.000 1.093 0.004
92.000 1.060 0.006
93.000 1.031 0.005
94.000 1.006 0.032
95.000 1.092 0.067
96.000 1.157 0.036
97.000 1.189 0.050
98.000 1.180 0.091
99.000 1.175 0.127
100.000 1.176 0.162
101.000 1.173 0.214
102.000 1.179 0.271
103.000 1.186 0.325
104.000 1.183 0.380
105.000 1.189 0.437
106.000 1.196 0.500
107.000 1.193 0.574
108.000 1.193 0.646
109.000 1.194 0.716
110.000 1.191 0.800
111.000 1.180 0.893
112.000 1.174 0.986
113.000 1.168 1.063
114.000 1.161 1.138
115.000 1.110 1.179
116.000 1.040 1.180
117.000 0.962 1.180
118.000 0.876 1.173
119.000 0.789 1.175
120.000 0.696 1.182
121.000 0.608 1.187
122.000 0.520 1.175
123.000 0.426 1.166
124.000 0.339 1.157
125.000 0.262 1.126
126.000 0.187 1.087
127.000 0.152 1.023
128.000 0.161 0.947
129.000 0.149 0.857
130.000 0.127 0.757
131.000 0.092 0.658
132.000 0.026 0.582
133.000 0.017 0.495
134.000 0.018 0.400
135.000 0.026 0.301
136.000 0.030 0.210
137.000 0.063 0.133
138.000 0.124 0.073
139.000 0.214 0.070
140.000 0.314 0.055
141.000 0.413 0.036
142.000 0.518 0.019
143.000 0.628 0.025
144.000 0.732 0.025
145.000 0.845 0.024
146.000 0.944 0.032
147.000 1.052 0.032
148.000 1.131 0.027
149.000 1.178 0.090
150.000 1.178 0.176
151.000 1.185 0.269
152.000 1.177 0.365
153.000 1.181 0.464
154.000 1.191 0.563
155.000 1.171 0.659
156.000 1.148 0.764
157.000 1.157 0.862
158.000 1.174 0.964
159.000 1.151 1.058
160.000 1.151 1.148
161.000 1.172 1.182
162.000 1.098 1.186
163.000 1.044 1.182
164.000 0.978 1.184
165.000 0.908 1.173
166.000 0.816 1.184
167.000 0.741 1.174
168.000 0.653 1.162
169.000 0.563 1.173
170.000 0.497 1.178
171.000 0.428 1.171
172.000 0.353 1.155
173.000 0.267 1.141
174.000 0.169 1.118
175.000 0.099 1.137
176.000 0.059 1.153
177.000 0.035 1.097
178.000 0.025 1.023
179.000 0.024 0.955
180.000 0.020 0.877
181.000 0.022 0.799
182.000 0.024 0.721
183.000 0.039 0.652
184.000 0.028 0.573
185.000 0.023 0.496
186.000 0.028 0.407
187.000 0.032 0.319
188.000 0.026 0.216
189.000 0.018 0.167
190.000 0.035 0.118
191.000 0.053 0.054
192.000 0.126 0.031
193.000 0.201 0.030
194.000 0.287 0.033
195.000 0.370 0.024
196.000 0.460 0.027
197.000 0.556 0.031
198.000 0.655 0.024
199.000 0.758 0.028
200.000 0.862 0.033
201.000 0.965 0.038
202.000 1.053 0.038
203.000 1.133 0.037
204.000 1.183 0.053
205.000 1.175 0.119
206.000 1.180 0.192
207.000 1.181 0.244
208.000 1.175 0.312
209.000 1.179 0.399
210.000 1.175 0.485
211.000 1.178 0.564
212.000 1.171 0.639
213.000 1.153 0.713
214.000 1.132 0.785
215.000 1.155 0.880
216.000 1.168 0.974
217.000 1.157 1.046
218.000 1.165 1.071
219.000 1.124 1.110
220.000 1.127 1.114
221.000 1.076 1.171
222.000 1.000 1.172
223.000 0.918 1.172
224.000 0.835 1.178
225.000 0.743 1.179
226.000 0.653 1.177
227.000 0.553 1.177
228.000 0.479 1.184
229.000 0.385 1.173
230.000 0.288 1.164
231.000 0.203 1.156
232.000 0.126 1.148
233.000 0.047 1.139
234.000 0.039 1.067
235.000 0.039 0.983
236.000 0.038 0.902
237.000 0.033 0.823
238.000 0.033 0.744
239.000 0.034 0.657
240.000 0.037 0.560
241.000 0.037 0.478
242.000 0.036 0.390
243.000 0.035 0.303
244.000 0.030 0.214
245.000 0.051 0.125
246.000 0.071 0.048
247.000 0.120 0.028
248.000 0.191 0.031
249.000 0.282 0.027
250.000 0.375 0.025
251.000 0.474 0.026
252.000 0.577 0.033
253.000 0.683 0.028
254.000 0.785 0.048
255.000 0.893 0.031
256.000 0.935 0.027
257.000 1.007 0.050
258.000 1.086 0.046
259.000 1.166 0.031
260.000 1.185 0.091
261.000 1.179 0.168
262.000 1.177 0.233
263.000 1.175 0.318
264.000 1.176 0.407
265.000 1.181 0.500
266.000 1.176 0.589
267.000 1.166 0.680
268.000 1.160 0.766
269.000 1.150 0.857
270.000 1.142 0.952
271.000 1.150 1.039
272.000 1.160 1.082
273.000 1.144 1.158
274.000 1.084 1.171
275.000 1.014 1.170
276.000 0.931 1.173
277.000 0.845 1.166
278.000 0.757 1.175
279.000 0.677 1.179
280.000 0.636 1.186
281.000 0.644 1.170
282.000 0.659 1.189
283.000 0.630 1.171
284.000 0.574 1.170
285.000 0.503 1.169
286.000 0.428 1.167
287.000 0.349 1.172
288.000 0.272 1.161
289.000 0.204 1.144
290.000 0.189 1.167
291.000 0.130 1.159
292.000 0.078 1.146
293.000 0.035 1.124
294.000 0.035 1.057
295.000 0.036 0.988
296.000 0.041 0.932
297.000 0.029 0.866
298.000 0.027 0.796
299.000 0.016 0.718
300.000 0.021 0.647
301.000 0.034 0.562
302.000 0.027 0.468
303.000 0.028 0.372
304.000 0.030 0.269
305.000 0.031 0.180
306.000 0.035 0.101
307.000 0.037 0.068
308.000 0.066 0.030
309.000 0.136 0.042
310.000 0.185 0.042
311.000 0.251 0.058
312.000 0.342 0.042
313.000 0.441 0.026
314.000 0.517 0.033
315.000 0.583 0.024
316.000 0.672 0.030
317.000 0.746 0.027
318.000 0.788 0.023
319.000 0.877 0.048
320.000 0.958 0.044
321.000 1.030 0.079
322.000 1.116 0.055
323.000 1.187 0.061
324.000 1.185 0.131
325.000 1.180 0.222
326.000 1.174 0.296
327.000 1.176 0.382
328.000 1.176 0.481
329.000 1.179 0.576
330.000 1.168 0.662
331.000 1.155 0.744
332.000 1.151 0.831
333.000 1.141 0.915
334.000 1.145 1.009
335.000 1.149 1.088
336.000 1.151 1.147
337.000 1.114 1.174
338.000 1.050 1.172
339.000 0.990 1.158
340.000 0.928 1.147
341.000 0.837 1.165
342.000 0.744 1.169
343.000 0.650 1.161
344.000 0.570 1.159
345.000 0.490 1.155
346.000 0.402 1.169
347.000 0.337 1.157
348.000 0.254 1.154
349.000 0.175 1.145
350.000 0.098 1.142
351.000 0.036 1.114
352.000 0.043 1.050
353.000 0.042 0.976
354.000 0.034 0.891
355.000 0.045 0.806
356.000 0.041 0.715
357.000 0.040 0.636
358.000 0.031 0.544
359.000 0.043 0.458
360.000 0.034 0.364
361.000 0.040 0.283
362.000 0.042 0.186
363.000 0.034 0.102
364.000 0.051 0.035
365.000 0.114 0.027
366.000 0.191 0.036
367.000 0.275 0.036
368.000 0.373 0.024
