# Time(s) fish0X fish0Y
265.000 0.917 0.293
266.000 0.917 0.293
267.000 0.917 0.293
268.000 0.917 0.293
269.000 0.917 0.293
270.000 0.917 0.293
271.000 0.919 0.292
272.000 0.917 0.293
273.000 0.917 0.293
274.000 0.917 0.293
275.000 0.917 0.293
276.000 0.917 0.293
277.000 0.917 0.293
278.000 0.917 0.293
279.000 0.917 0.293
280.000 0.917 0.293
281.000 0.917 0.293
282.000 0.917 0.293
283.000 0.917 0.293
284.000 0.917 0.293
285.000 0.916 0.293
286.000 0.916 0.293
287.000 0.917 0.293
288.000 0.917 0.293
289.000 0.921 0.288
290.000 0.916 0.293
291.000 0.917 0.293
292.000 0.917 0.290
293.000 0.916 0.293
294.000 0.916 0.293
295.000 0.917 0.293
296.000 0.916 0.293
297.000 0.917 0.293
298.000 0.916 0.293
299.000 0.917 0.293
300.000 0.919 0.290
301.000 0.919 0.290
302.000 0.917 0.293
303.000 0.917 0.293
304.000 0.917 0.293
305.000 0.917 0.292
306.000 0.917 0.292
307.000 0.917 0.293
308.000 0.917 0.293
309.000 0.917 0.293
310.000 0.917 0.293
311.000 0.917 0.293
312.000 0.917 0.293
313.000 0.918 0.293
314.000 0.918 0.293
315.000 0.917 0.293
316.000 0.923 0.290
317.000 0.917 0.293
318.000 0.917 0.293
319.000 0.917 0.293
320.000 0.917 0.293
321.000 0.917 0.293
322.000 0.917 0.293
323.000 0.917 0.293
324.000 0.917 0.293
325.000 0.917 0.293
326.000 0.917 0.293
327.000 0.917 0.293
328.000 0.917 0.293
329.000 0.917 0.293
330.000 0.917 0.293
331.000 0.916 0.293
332.000 0.917 0.293
333.000 0.917 0.293
334.000 0.917 0.293
335.000 0.917 0.293
336.000 0.917 0.293
337.000 0.917 0.293
338.000 0.917 0.293
339.000 0.917 0.293
340.000 0.917 0.293
341.000 0.916 0.293
342.000 0.916 0.293
343.000 0.916 0.293
344.000 0.917 0.293
345.000 0.917 0.293
346.000 0.917 0.293
347.000 0.917 0.293
348.000 0.917 0.293
349.000 0.917 0.293
350.000 0.918 0.293
351.000 0.918 0.293
352.000 0.917 0.293
353.000 0.917 0.293
354.000 0.917 0.293
355.000 0.917 0.294
356.000 0.917 0.293
357.000 0.917 0.293
358.000 0.917 0.293
359.000 0.917 0.293
360.000 0.918 0.293
361.000 0.917 0.293
362.000 0.917 0.293
363.000 0.917 0.293
364.000 0.917 0.293
365.000 0.917 0.293
366.000 0.917 0.293
367.000 0.917 0.294
368.000 0.918 0.293
369.000 0.917 0.293
370.000 0.917 0.294
371.000 0.917 0.294
372.000 0.917 0.294
373.000 0.917 0.294
374.000 0.917 0.294
375.000 0.917 0.294
376.000 0.918 0.294
377.000 0.917 0.294
378.000 0.917 0.294
379.000 0.917 0.294
380.000 0.917 0.294
381.000 0.918 0.294
382.000 0.917 0.294
383.000 0.917 0.294
384.000 0.917 0.294
385.000 0.917 0.294
386.000 0.917 0.294
387.000 0.917 0.294
388.000 0.917 0.294
389.000 0.917 0.294
390.000 0.917 0.294
391.000 0.917 0.294
392.000 0.918 0.294
393.000 0.918 0.294
394.000 0.918 0.294
395.000 0.917 0.294
396.000 0.917 0.294
397.000 0.918 0.294
398.000 0.917 0.294
399.000 0.917 0.294
400.000 0.917 0.294
401.000 0.917 0.294
402.000 0.917 0.294
403.000 0.917 0.294
404.000 0.917 0.294
405.000 0.917 0.294
406.000 0.917 0.294
407.000 0.917 0.294
408.000 0.918 0.294
409.000 0.917 0.294
410.000 0.918 0.294
411.000 0.918 0.294
412.000 0.917 0.294
413.000 0.917 0.294
414.000 0.917 0.294
415.000 0.917 0.294
416.000 0.917 0.294
417.000 0.917 0.294
418.000 0.917 0.294
419.000 0.918 0.294
420.000 0.917 0.294
421.000 0.917 0.294
422.000 0.917 0.294
423.000 0.917 0.294
424.000 0.916 0.294
425.000 0.917 0.294
426.000 0.917 0.294
427.000 0.918 0.294
428.000 0.917 0.294
429.000 0.917 0.294
430.000 0.917 0.294
431.000 0.917 0.294
432.000 0.917 0.294
433.000 0.917 0.294
434.000 0.917 0.294
435.000 0.918 0.294
436.000 0.917 0.294
437.000 0.918 0.294
438.000 0.918 0.294
439.000 0.917 0.294
440.000 0.918 0.294
441.000 0.917 0.294
442.000 0.917 0.294
443.000 0.917 0.294
444.000 0.917 0.294
445.000 0.917 0.294
446.000 0.917 0.294
447.000 0.921 0.292
448.000 0.919 0.290
449.000 0.917 0.294
450.000 0.918 0.294
451.000 0.918 0.294
452.000 0.917 0.294
453.000 0.917 0.294
454.000 0.918 0.294
455.000 0.917 0.294
456.000 0.917 0.294
457.000 0.918 0.294
458.000 0.918 0.294
459.000 0.918 0.294
460.000 0.918 0.294
461.000 0.918 0.294
462.000 0.917 0.294
463.000 0.917 0.294
464.000 0.917 0.294
465.000 0.918 0.294
466.000 0.917 0.294
467.000 0.918 0.294
468.000 0.918 0.294
469.000 0.918 0.294
470.000 0.918 0.294
471.000 0.917 0.294
472.000 0.917 0.294
473.000 0.921 0.292
474.000 0.917 0.295
475.000 0.917 0.294
476.000 0.917 0.295
477.000 0.917 0.295
478.000 0.919 0.292
479.000 0.918 0.294
480.000 0.921 0.292
481.000 0.917 0.295
482.000 0.918 0.295
483.000 0.917 0.295
484.000 0.917 0.295
485.000 0.917 0.295
486.000 0.918 0.295
487.000 0.917 0.295
488.000 0.918 0.295
489.000 0.917 0.295
490.000 0.917 0.296
491.000 0.917 0.296
492.000 0.917 0.296
493.000 0.917 0.296
494.000 0.917 0.296
495.000 0.917 0.296
496.000 0.917 0.296
497.000 0.918 0.295
498.000 0.917 0.295
499.000 0.917 0.295
500.000 0.917 0.296
501.000 0.917 0.295
502.000 0.917 0.296
503.000 0.917 0.296
504.000 0.918 0.296
505.000 0.918 0.296
506.000 0.918 0.296
507.000 0.918 0.296
508.000 0.918 0.296
509.000 0.918 0.296
510.000 0.917 0.296
511.000 0.923 0.295
512.000 0.918 0.296
513.000 0.918 0.297
514.000 0.918 0.296
515.000 0.919 0.297
516.000 0.919 0.296
517.000 0.919 0.296
518.000 0.919 0.297
519.000 0.919 0.297
520.000 0.919 0.297
521.000 0.919 0.296
522.000 0.919 0.296
523.000 0.919 0.296
524.000 0.919 0.296
525.000 0.918 0.296
526.000 0.919 0.296
527.000 0.919 0.297
528.000 0.919 0.297
529.000 0.919 0.297
530.000 0.919 0.296
531.000 0.919 0.296
532.000 0.919 0.297
533.000 0.920 0.297
534.000 0.920 0.297
535.000 0.919 0.297
536.000 0.919 0.297
537.000 0.918 0.295
538.000 0.915 0.290
539.000 0.908 0.285
540.000 0.891 0.315
